level,clmax_mm,n_nodes,n_tets,min_dihedral_deg,max_aspect,volume_rel_err
coarse,12.0,121,306,22.768126467544263,3.075889222690305,1.6003377752009277e-14
medium,8.0,198,545,15.157898169934398,3.2009665124520805,1.6003377752009277e-14
fine,5.0,522,1738,14.924843398374374,3.8137564866563576,1.640346219580951e-14
