x_mm,y_mm,z_mm,value_normalized,raw_max,units
-0.0033,2.6111,65.1703,1.015384e-01,1.309500e+02,strain
-3.3051,-3.9108,64.4058,3.256575e-01,1.309500e+02,strain
2.1411,6.4896,50.5150,2.243882e-01,1.309500e+02,strain
4.5502,5.0987,50.5147,4.154061e-01,1.309500e+02,strain
-7.9873,-0.0041,46.5338,5.962879e-01,1.309500e+02,strain
7.6941,0.6978,40.4111,4.700933e-01,1.309500e+02,strain
7.9875,0.0041,46.5357,5.952894e-01,1.309500e+02,strain
-2.1434,-6.4899,50.5137,2.266079e-01,1.309500e+02,strain
7.9712,0.0005,49.8053,6.483216e-01,1.309500e+02,strain
3.3532,-3.8999,64.4288,2.613066e-01,1.309500e+02,strain
1.1859,-2.0281,35.3007,9.009476e-02,1.309500e+02,strain
-4.5566,-5.0920,50.5110,4.197438e-01,1.309500e+02,strain
3.7741,6.5426,62.8573,4.008004e-01,1.309500e+02,strain
1.0254,-1.7399,8.2540,3.910176e-03,1.309500e+02,strain
-3.7793,-6.5536,62.8655,3.991819e-01,1.309500e+02,strain
-3.3389,3.9108,64.4064,2.616266e-01,1.309500e+02,strain
-7.9788,-0.0005,49.8005,6.493695e-01,1.309500e+02,strain
-8.3271,0.0776,34.1325,3.675439e-01,1.309500e+02,strain
5.6952,-9.8575,19.7378,5.182996e-02,1.309500e+02,strain
6.5094,7.5612,33.4598,2.986124e-01,1.309500e+02,strain
1.6770,-5.0320,57.8322,1.552818e-01,1.309500e+02,strain
-7.6988,0.0000,59.6003,6.988886e-01,1.309500e+02,strain
7.2034,-0.0000,75.9141,4.951359e-01,1.309500e+02,strain
-5.5452,4.1529,35.3185,2.438516e-01,1.309500e+02,strain
-7.2069,0.0000,75.9099,4.945942e-01,1.309500e+02,strain
10.3630,-0.3133,28.4260,3.039989e-01,1.309500e+02,strain
4.1560,-4.6538,84.0223,1.532189e-01,1.309500e+02,strain
0.5555,8.7959,32.9320,6.193851e-02,1.309500e+02,strain
2.0125,-5.8911,84.0219,6.571279e-02,1.309500e+02,strain
3.8079,-6.5426,62.8567,2.837707e-01,1.309500e+02,strain
8.4922,1.1727,31.6699,3.267536e-01,1.309500e+02,strain
3.6000,6.2352,75.9141,2.944473e-01,1.309500e+02,strain
3.2512,-3.8114,70.9468,2.268535e-01,1.309500e+02,strain
-3.8131,6.5536,62.8661,2.866856e-01,1.309500e+02,strain
-2.5844,9.7403,36.1587,8.072154e-02,1.309500e+02,strain
7.6368,0.0000,59.5843,6.932728e-01,1.309500e+02,strain
3.2715,3.8105,70.9595,2.905237e-01,1.309500e+02,strain
-3.2832,3.7937,70.9150,2.313625e-01,1.309500e+02,strain
-3.8048,6.6482,59.5923,2.878259e-01,1.309500e+02,strain
3.9222,-7.0387,46.5379,2.452788e-01,1.309500e+02,strain
1.4215,7.0892,30.4433,7.502732e-02,1.309500e+02,strain
3.5966,-6.2354,75.9120,2.000295e-01,1.309500e+02,strain
-3.6052,6.2324,75.9120,2.103555e-01,1.309500e+02,strain
-3.6085,-6.2325,75.9099,2.864068e-01,1.309500e+02,strain
3.6517,6.3245,72.6461,3.351898e-01,1.309500e+02,strain
-2.1431,6.5933,45.5149,1.145242e-01,1.309500e+02,strain
-3.3034,-3.7941,70.9023,2.912129e-01,1.309500e+02,strain
4.0656,7.0427,46.5378,3.526070e-01,1.309500e+02,strain
3.5835,5.2731,37.7786,2.171927e-01,1.309500e+02,strain
-4.0652,-7.0424,46.5368,3.593529e-01,1.309500e+02,strain
-1.5135,-4.6240,84.7645,8.774041e-02,1.309500e+02,strain
-2.8904,-7.0089,85.7113,1.420917e-01,1.309500e+02,strain
-4.6108,5.2504,45.5119,2.903592e-01,1.309500e+02,strain
-3.4498,5.8761,29.6163,9.247302e-02,1.309500e+02,strain
3.6314,-6.3252,72.6334,2.318480e-01,1.309500e+02,strain
6.3778,5.5873,48.1705,5.455150e-01,1.309500e+02,strain
1.6494,8.3166,48.1729,1.898049e-01,1.309500e+02,strain
-3.6830,6.3076,72.6334,2.414716e-01,1.309500e+02,strain
-8.4050,1.6932,54.6997,7.282036e-01,1.309500e+02,strain
-5.8002,-9.7933,19.8204,7.393400e-02,1.309500e+02,strain
3.7703,-6.6967,59.5846,2.838553e-01,1.309500e+02,strain
5.8033,9.7853,19.8234,6.928704e-02,1.309500e+02,strain
-1.6487,-8.3166,48.1729,1.933736e-01,1.309500e+02,strain
-6.3815,-5.5799,48.1671,5.522020e-01,1.309500e+02,strain
-5.7099,6.3563,54.7010,4.605269e-01,1.309500e+02,strain
-8.6782,1.0128,43.1747,5.802237e-01,1.309500e+02,strain
-3.7032,-6.3080,72.6207,3.326592e-01,1.309500e+02,strain
-6.3710,1.2996,63.6070,5.583219e-01,1.309500e+02,strain
-6.3710,-1.2996,63.6070,5.808571e-01,1.309500e+02,strain
7.9807,-2.8111,48.1706,6.069249e-01,1.309500e+02,strain
-1.5511,8.3166,48.1729,8.184903e-02,1.309500e+02,strain
-0.0297,-4.6624,14.1474,8.468029e-03,1.309500e+02,strain
7.9780,2.8156,48.1705,6.497196e-01,1.309500e+02,strain
1.5518,-8.3166,48.1729,8.444879e-02,1.309500e+02,strain
-7.6413,2.6291,61.2376,6.767636e-01,1.309500e+02,strain
-7.6413,-2.6291,61.2376,7.230835e-01,1.309500e+02,strain
-7.9844,2.8036,48.1672,6.046460e-01,1.309500e+02,strain
8.3702,-1.7491,54.6955,7.253316e-01,1.309500e+02,strain
-8.8126,-1.8260,41.3074,5.705904e-01,1.309500e+02,strain
-7.9817,-2.8082,48.1671,6.534789e-01,1.309500e+02,strain
6.1225,-0.4385,25.1326,1.376946e-01,1.309500e+02,strain
6.3804,-5.5828,48.1706,4.625916e-01,1.309500e+02,strain
-6.1155,-5.2719,61.2376,6.080674e-01,1.309500e+02,strain
-6.3841,5.5753,48.1672,4.556906e-01,1.309500e+02,strain
5.6750,-6.4122,54.6942,4.599745e-01,1.309500e+02,strain
5.9426,6.6963,41.3085,4.142943e-01,1.309500e+02,strain
2.5297,7.7360,67.8065,2.841749e-01,1.309500e+02,strain
-4.4330,-6.3687,40.3370,3.139534e-01,1.309500e+02,strain
-4.4186,-4.9504,58.6771,4.427645e-01,1.309500e+02,strain
6.3906,-1.2887,63.6300,5.600347e-01,1.309500e+02,strain
6.3907,1.2885,63.6300,5.829450e-01,1.309500e+02,strain
6.0879,5.3094,61.2208,6.074230e-01,1.309500e+02,strain
1.5492,7.9299,61.2208,2.132841e-01,1.309500e+02,strain
0.4616,-6.9360,20.1406,1.734621e-02,1.309500e+02,strain
-6.1155,5.2719,61.2376,5.152559e-01,1.309500e+02,strain
-1.5613,-7.9299,61.2205,2.140660e-01,1.309500e+02,strain
2.5434,-7.7367,67.7931,1.572426e-01,1.309500e+02,strain
7.2637,-2.5037,74.2801,5.149323e-01,1.309500e+02,strain
7.2639,2.5034,74.2801,5.564425e-01,1.309500e+02,strain
-8.3374,-0.9780,56.3335,7.561242e-01,1.309500e+02,strain
-6.5356,3.1361,32.2838,2.439241e-01,1.309500e+02,strain
-2.5703,7.7361,67.7747,1.607364e-01,1.309500e+02,strain
4.3813,4.9986,58.6704,4.398449e-01,1.309500e+02,strain
2.1333,6.2964,58.6704,2.461164e-01,1.309500e+02,strain
7.0514,-0.0000,83.0942,3.305262e-01,1.309500e+02,strain
-7.2759,2.4837,74.2653,5.201004e-01,1.309500e+02,strain
-7.2760,-2.4836,74.2653,5.522181e-01,1.309500e+02,strain
-7.0208,0.0539,83.0935,3.280769e-01,1.309500e+02,strain
-0.0262,4.6647,14.1685,8.196346e-03,1.309500e+02,strain
-1.1455,-8.5127,22.1515,3.297992e-02,1.309500e+02,strain
1.4392,7.5424,74.2801,1.627626e-01,1.309500e+02,strain
1.4903,-7.9299,61.2205,9.121023e-02,1.309500e+02,strain
5.8125,5.0173,74.2801,4.710075e-01,1.309500e+02,strain
7.6137,-2.6667,61.2208,6.728452e-01,1.309500e+02,strain
7.6137,2.6666,61.2208,7.226387e-01,1.309500e+02,strain
-2.5566,-7.7366,67.7613,2.836876e-01,1.309500e+02,strain
3.5566,6.0522,83.0942,1.986672e-01,1.309500e+02,strain
-2.1431,-6.2967,58.6693,2.478505e-01,1.309500e+02,strain
-3.4640,6.1057,83.0939,1.385917e-01,1.309500e+02,strain
-3.5580,-6.0518,83.0935,1.915770e-01,1.309500e+02,strain
-1.5024,7.9299,61.2208,9.134329e-02,1.309500e+02,strain
8.2792,0.9777,56.3188,7.503841e-01,1.309500e+02,strain
-4.6811,2.9326,29.0632,1.394553e-01,1.309500e+02,strain
6.0879,-5.3095,61.2208,5.108558e-01,1.309500e+02,strain
-6.5165,-0.2825,37.7211,3.506862e-01,1.309500e+02,strain
-3.6644,-7.8753,42.8509,3.053819e-01,1.309500e+02,strain
-3.4268,6.0412,84.7232,1.221805e-01,1.309500e+02,strain
-6.9464,0.0539,84.7229,2.850228e-01,1.309500e+02,strain
3.5193,5.9878,84.7236,1.722465e-01,1.309500e+02,strain
5.8123,-5.0176,74.2801,3.879086e-01,1.309500e+02,strain
-3.2741,7.6904,56.3268,2.498389e-01,1.309500e+02,strain
-1.4636,7.5424,74.2801,7.171732e-02,1.309500e+02,strain
-5.8245,4.9976,74.2653,3.986175e-01,1.309500e+02,strain
1.4157,-7.5430,74.2653,6.900581e-02,1.309500e+02,strain
-5.8246,-4.9975,74.2653,4.626000e-01,1.309500e+02,strain
-3.0342,-0.4544,8.5808,1.378944e-02,1.309500e+02,strain
7.6073,-1.0216,85.7120,2.851408e-01,1.309500e+02,strain
4.8534,-1.0216,84.7652,1.940519e-01,1.309500e+02,strain
-1.4871,-7.5430,74.2653,1.624593e-01,1.309500e+02,strain
-6.1755,1.2471,71.7416,4.759872e-01,1.309500e+02,strain
-6.1755,-1.2470,71.7416,4.939861e-01,1.309500e+02,strain
2.5029,-4.2138,12.1654,1.252918e-02,1.309500e+02,strain
2.7233,10.4549,20.7069,4.842149e-02,1.309500e+02,strain
-2.7201,-10.4629,20.7038,4.970597e-02,1.309500e+02,strain
6.1846,-1.2643,71.7861,4.741100e-01,1.309500e+02,strain
6.1847,1.2639,71.7861,4.972862e-01,1.309500e+02,strain
3.4049,-7.7742,53.0711,2.473886e-01,1.309500e+02,strain
-3.4121,7.7669,53.0699,2.455050e-01,1.309500e+02,strain
-7.2201,7.0151,36.2878,3.096383e-01,1.309500e+02,strain
7.5466,-3.5346,31.0682,2.670835e-01,1.309500e+02,strain
-2.4452,-4.2708,12.2152,1.728734e-02,1.309500e+02,strain
3.1172,0.1079,29.9508,1.079561e-01,1.309500e+02,strain
4.8114,6.4781,66.1737,4.824208e-01,1.309500e+02,strain
1.0538,8.5737,21.9044,3.085620e-02,1.309500e+02,strain
10.3630,2.6587,28.4260,3.076470e-01,1.309500e+02,strain
-8.4723,-0.9785,53.0660,7.398960e-01,1.309500e+02,strain
3.2433,-7.7392,56.3178,2.491627e-01,1.309500e+02,strain
5.8743,7.1569,36.3794,3.195351e-01,1.309500e+02,strain
0.1146,-5.3064,30.7459,2.448039e-02,1.309500e+02,strain
-4.7904,-6.4891,66.1501,4.765288e-01,1.309500e+02,strain
8.4609,0.9782,53.0721,7.377926e-01,1.309500e+02,strain
-9.2497,-1.2993,36.3219,4.702122e-01,1.309500e+02,strain
-3.6269,-3.2268,86.0427,1.486978e-01,1.309500e+02,strain
4.7398,-6.3897,69.4265,3.413662e-01,1.309500e+02,strain
4.8452,-6.4782,66.1731,3.675450e-01,1.309500e+02,strain
4.7601,6.3889,69.4392,4.561855e-01,1.309500e+02,strain
2.5739,-4.3390,9.7904,9.917668e-03,1.309500e+02,strain
-4.7718,6.3720,69.3947,3.517015e-01,1.309500e+02,strain
-5.0039,-5.6118,86.9895,1.823761e-01,1.309500e+02,strain
3.4863,8.1241,43.1787,2.951135e-01,1.309500e+02,strain
4.2141,-10.5151,20.9258,4.649188e-02,1.309500e+02,strain
-9.6978,-3.3844,34.9346,4.711103e-01,1.309500e+02,strain
-4.8242,6.4892,66.1507,3.701860e-01,1.309500e+02,strain
-1.5151,-2.0445,88.3159,5.510523e-02,1.309500e+02,strain
-1.8672,-2.3630,30.1928,7.943793e-02,1.309500e+02,strain
-2.6043,4.1782,12.2011,1.430321e-02,1.309500e+02,strain
1.7863,0.0000,101.7562,2.169536e-02,1.309500e+02,strain
-0.8932,1.5470,101.7562,1.212193e-02,1.309500e+02,strain
-6.7932,2.5828,86.0011,2.346585e-01,1.309500e+02,strain
-1.1592,7.1745,86.0015,3.690528e-02,1.309500e+02,strain
5.6340,4.5907,86.0015,2.213848e-01,1.309500e+02,strain
-4.7920,-6.3724,69.3820,4.521673e-01,1.309500e+02,strain
10.3987,1.1727,26.7949,2.631525e-01,1.309500e+02,strain
-0.1096,-7.8894,35.7423,5.096651e-02,1.309500e+02,strain
2.7758,0.0013,88.3159,8.311166e-02,1.309500e+02,strain
3.8318,-2.4015,13.5586,2.723254e-02,1.309500e+02,strain
3.7726,2.2662,13.5009,3.021372e-02,1.309500e+02,strain
5.3225,-7.9053,21.2358,6.402303e-02,1.309500e+02,strain
-3.8723,2.3470,13.5797,2.768735e-02,1.309500e+02,strain
3.6322,8.1093,39.4245,2.503092e-01,1.309500e+02,strain
-1.7717,3.7160,88.6657,4.605146e-02,1.309500e+02,strain
-4.1041,0.3236,88.6657,1.192964e-01,1.309500e+02,strain
2.3323,3.3924,88.6657,7.912226e-02,1.309500e+02,strain
-2.6774,4.3068,9.8254,1.270849e-02,1.309500e+02,strain
-0.7345,-8.2795,30.8569,6.598907e-02,1.309500e+02,strain
2.4065,-9.4919,35.8319,8.120481e-02,1.309500e+02,strain
-0.1026,5.3269,28.6348,2.662790e-02,1.309500e+02,strain
-1.8796,-2.7380,21.1829,3.805818e-02,1.309500e+02,strain
-7.0725,-8.8295,20.9807,1.027589e-01,1.309500e+02,strain
7.0756,8.8215,20.9837,9.784122e-02,1.309500e+02,strain
-5.4162,4.9678,86.0011,1.798717e-01,1.309500e+02,strain
1.5947,7.1745,86.0015,8.455699e-02,1.309500e+02,strain
-7.0112,-2.2052,86.0011,2.570941e-01,1.309500e+02,strain
-8.9500,1.0157,39.4402,5.141298e-01,1.309500e+02,strain
4.6422,6.2027,11.6029,2.780159e-02,1.309500e+02,strain
-0.5513,6.9936,19.8941,1.707123e-02,1.309500e+02,strain
-1.6687,-0.2063,22.9659,3.357188e-02,1.309500e+02,strain
8.9714,-4.3112,28.6203,2.628878e-01,1.309500e+02,strain
-4.6194,7.9968,20.3304,4.712939e-02,1.309500e+02,strain
1.9468,6.6948,23.7688,5.312767e-02,1.309500e+02,strain
2.4102,-10.5371,20.3696,2.179746e-02,1.309500e+02,strain
-4.5124,-1.6841,9.0782,2.162482e-02,1.309500e+02,strain
-6.8580,0.3236,87.2793,2.186678e-01,1.309500e+02,strain
-3.1487,6.1010,87.2793,8.535214e-02,1.309500e+02,strain
3.7093,5.7774,87.2793,1.383431e-01,1.309500e+02,strain
-2.4522,-4.4583,9.8079,1.252005e-02,1.309500e+02,strain
-0.8483,-4.7272,9.0494,5.437660e-03,1.309500e+02,strain
3.6697,-3.0983,9.0494,1.571795e-02,1.309500e+02,strain
6.2315,-5.0449,36.9137,3.010774e-01,1.309500e+02,strain
-3.8430,-2.3257,13.6114,3.050923e-02,1.309500e+02,strain
4.8873,1.1841,86.0431,1.845950e-01,1.309500e+02,strain
2.2329,-2.3205,100.4165,2.579606e-02,1.309500e+02,strain
-3.1261,0.7735,100.4165,3.755224e-02,1.309500e+02,strain
-3.1261,-0.7735,100.4165,4.009744e-02,1.309500e+02,strain
0.8932,-3.0940,100.4165,1.224719e-02,1.309500e+02,strain
7.6412,1.1841,86.9899,2.600792e-01,1.309500e+02,strain
-3.2795,-0.1991,25.2307,7.889582e-02,1.309500e+02,strain
1.4112,0.2868,36.7896,7.938098e-02,1.309500e+02,strain
5.6534,-3.7347,21.2507,8.123937e-02,1.309500e+02,strain
0.9380,-4.7272,9.0494,2.044000e-03,1.309500e+02,strain
-0.0193,-7.1990,14.3430,8.773919e-03,1.309500e+02,strain
8.5556,1.4414,25.0847,1.886515e-01,1.309500e+02,strain
9.7849,2.8432,39.8927,6.030129e-01,1.309500e+02,strain
3.0268,7.1139,11.7134,1.908471e-02,1.309500e+02,strain
-3.6192,-3.2311,9.0782,1.842979e-02,1.309500e+02,strain
-0.0599,-2.7884,16.6788,1.033012e-02,1.309500e+02,strain
0.5205,-3.8917,20.0553,1.692768e-02,1.309500e+02,strain
0.0734,2.7626,16.6824,1.061566e-02,1.309500e+02,strain
6.8346,-2.1832,92.4798,1.092154e-01,1.309500e+02,strain
-1.0190,-1.0113,36.7164,6.357627e-02,1.309500e+02,strain
-0.6781,-9.9797,28.4755,5.865270e-02,1.309500e+02,strain
8.1897,6.0035,34.8720,3.993787e-01,1.309500e+02,strain
-0.0517,7.2070,14.3713,8.884898e-03,1.309500e+02,strain
8.1927,-5.9983,34.8722,3.558915e-01,1.309500e+02,strain
11.2621,0.0041,45.0361,8.186912e-01,1.309500e+02,strain
-11.2626,-0.0041,45.0342,8.214305e-01,1.309500e+02,strain
-5.1620,8.8027,28.9562,1.257060e-01,1.309500e+02,strain
-3.1261,-2.3205,99.0767,4.305871e-02,1.309500e+02,strain
-0.4466,-3.8675,99.0767,1.665726e-02,1.309500e+02,strain
3.5727,1.5470,99.0767,4.558423e-02,1.309500e+02,strain
3.5727,-1.5470,99.0767,4.394846e-02,1.309500e+02,strain
-5.5484,9.6080,21.5531,5.869987e-02,1.309500e+02,strain
-4.7230,1.7184,7.9598,2.306766e-02,1.309500e+02,strain
-9.5137,3.8070,32.4197,3.676785e-01,1.309500e+02,strain
6.7672,-8.5726,23.0139,9.736951e-02,1.309500e+02,strain
3.9137,-6.6595,9.7109,1.281818e-02,1.309500e+02,strain
4.9213,-1.0216,89.6541,1.339421e-01,1.309500e+02,strain
-1.7020,-4.4140,89.6541,6.165900e-02,1.309500e+02,strain
7.8318,-2.1442,38.5430,4.271121e-01,1.309500e+02,strain
3.4057,3.3911,7.8263,2.068450e-02,1.309500e+02,strain
4.3974,-7.8716,42.8520,2.454638e-01,1.309500e+02,strain
-7.4004,-6.9771,39.8185,4.955648e-01,1.309500e+02,strain
6.9704,0.0000,91.2419,1.467540e-01,1.309500e+02,strain
2.0375,-8.5849,21.8675,2.410175e-02,1.309500e+02,strain
-2.3939,8.6976,20.4262,2.241425e-02,1.309500e+02,strain
5.0558,-7.5442,93.2330,5.159681e-02,1.309500e+02,strain
3.8414,-8.5629,22.4238,5.048826e-02,1.309500e+02,strain
4.8885,7.6122,23.7316,1.047623e-01,1.309500e+02,strain
0.8571,1.2345,24.3697,2.859360e-02,1.309500e+02,strain
-7.3051,-5.4567,19.7740,9.317411e-02,1.309500e+02,strain
-3.8298,3.2654,7.9598,2.007647e-02,1.309500e+02,strain
4.5629,-1.5513,9.0494,2.050379e-02,1.309500e+02,strain
-6.3364,6.4197,20.4300,7.189557e-02,1.309500e+02,strain
7.3109,5.4494,19.7918,9.276266e-02,1.309500e+02,strain
10.7662,-0.0000,58.0699,9.947668e-01,1.309500e+02,strain
-6.4317,2.6925,18.6176,7.267238e-02,1.309500e+02,strain
-11.2287,0.0638,17.6545,8.160337e-02,1.309500e+02,strain
11.2287,-0.0690,17.6514,8.162083e-02,1.309500e+02,strain
6.4362,-2.7003,18.6287,7.362388e-02,1.309500e+02,strain
8.6375,-3.6065,40.9818,5.228327e-01,1.309500e+02,strain
7.6412,-3.2273,86.9899,2.428276e-01,1.309500e+02,strain
7.9000,3.7922,17.1155,6.711572e-02,1.309500e+02,strain
-4.1669,0.1996,7.2125,1.967165e-02,1.309500e+02,strain
-7.8969,-3.8053,17.1155,6.742806e-02,1.309500e+02,strain
7.3646,-3.7813,15.2977,4.609173e-02,1.309500e+02,strain
-9.2342,-0.2042,19.1882,1.009374e-01,1.309500e+02,strain
-7.3752,3.7625,15.3086,4.730979e-02,1.309500e+02,strain
3.8426,-6.5343,12.0859,1.514892e-02,1.309500e+02,strain
-2.6972,2.6114,9.3281,1.311086e-02,1.309500e+02,strain
9.2367,0.1998,19.1999,1.012455e-01,1.309500e+02,strain
-1.7011,0.1074,27.6158,6.006979e-02,1.309500e+02,strain
-3.0789,-6.7989,88.2678,1.045869e-01,1.309500e+02,strain
-5.7436,3.8009,20.9864,7.889854e-02,1.309500e+02,strain
1.8858,3.7153,7.1896,1.209057e-02,1.309500e+02,strain
-2.1223,-7.7821,38.4541,1.657538e-01,1.309500e+02,strain
-0.6491,-8.4118,15.8866,1.204168e-02,1.309500e+02,strain
6.8346,2.1832,92.4798,1.121981e-01,1.309500e+02,strain
-5.3645,9.3555,58.0779,4.095738e-01,1.309500e+02,strain
-0.9655,-8.1961,86.9895,6.390406e-02,1.309500e+02,strain
3.1131,0.3310,23.6968,6.653406e-02,1.309500e+02,strain
-3.7850,-6.5913,12.1357,2.151857e-02,1.309500e+02,strain
-8.7579,1.9314,19.2361,9.582806e-02,1.309500e+02,strain
-11.0596,-1.6248,16.6293,6.167834e-02,1.309500e+02,strain
11.0595,1.6196,16.6262,6.152775e-02,1.309500e+02,strain
-6.9014,-6.0680,20.8851,1.046169e-01,1.309500e+02,strain
8.7605,-1.9359,19.2478,9.742986e-02,1.309500e+02,strain
2.2979,2.7303,9.2175,1.324408e-02,1.309500e+02,strain
-11.0596,1.7524,16.6293,5.842499e-02,1.309500e+02,strain
