sigma,steps,flips,min,max,p01,p99,logrms
0.09,542,0,0.03840367993811697,5.860407372766678,0.3903690199382584,1.2660432717742651,0.22229764668336344
0.1,542,0,0.040007708144799495,5.3857689985035115,0.35672372419492754,1.328727139910574,0.23059480785989056
0.105,542,0,0.041048965458931566,5.063833069130099,0.3455266157507611,1.363523722732907,0.2346856587644886
0.11,542,0,0.042191513905525224,4.990245788624863,0.33358490257904583,1.3978499866775926,0.23879516104950538
0.115,542,0,0.043388012201364234,4.6842855855547185,0.32467959865564333,1.430757688613353,0.24295554867872024
0.12,819,0,0.04486926048513257,4.695513286730094,0.3163038607948085,1.4676475343137494,0.2473231060472297
0.13,542,0,0.04701004058687949,4.385283448486496,0.284158147934279,1.5216609062900466,0.2558807841740269
