beta_deg,f1_hz,f2_hz,f3_hz,f4_hz
0.000000000000000000e+00,3.693209739092367090e+04,3.694703055954692536e+04,4.008952510093626188e+04,6.209500923055875319e+04
1.500000000000000000e+01,3.613340478967109084e+04,3.741448124556518451e+04,3.952336655999511277e+04,6.177297115178394597e+04
3.000000000000000000e+01,3.476806959084608388e+04,3.565125141624215030e+04,4.023367264259309013e+04,5.864342427213992050e+04
4.500000000000000000e+01,3.295219125017424813e+04,3.322842403890911373e+04,4.124328382380614494e+04,5.436629918653157074e+04
6.000000000000000000e+01,3.151422621369597982e+04,3.154437947554327911e+04,4.108363670113919943e+04,5.150467276410727209e+04
7.500000000000000000e+01,3.085899026102923744e+04,3.138328519402570964e+04,3.958857646764947276e+04,5.103398603859299328e+04
9.000000000000000000e+01,3.107276572191304513e+04,3.286177622019576665e+04,3.785089334226902429e+04,5.332946265583048807e+04
