node,lat,lon
0,32.84000000000001,-64.88
1,0.03229929970873127,-122.74512562269528
2,-30.59028729913503,-64.06723419234365
3,-1.150475726855093,173.82643173841458
4,-57.60777009808984,23.757736958784108
5,58.92154029663391,27.398212778884737
6,1.150475726855093,-6.173568261585423
7,57.60777009808984,-156.2422630412159
8,-58.92154029663389,-152.60178722111527
9,-32.84,115.12000000000002
10,-0.03229929970873127,57.25487437730472
11,30.59028729913503,115.93276580765635
12,18.60755620588507,-96.56097005526962
13,-17.3849371854251,-95.81331236243396
14,1.1248846334805804,-64.4686859735777
15,19.302443368445438,-32.733813021189356
16,-16.69755071201752,-32.754814373080094
17,-52.6975414932485,-32.787520748561924
18,-28.981324717357566,4.173210187725107
19,31.011958288391426,5.116124576186372
20,55.30243340798378,-32.698475266816025
21,54.595189511462024,-97.7925900778964
22,88.69715307918601,145.8345353703809
23,29.779111331079683,-134.295126618212
24,28.981324717357566,-175.82678981227488
25,-0.6572165856250538,-154.4557806552015
26,-30.204241061300166,-132.8110770728713
27,-31.011958288391426,-174.88387542381363
28,-53.37301124752746,-94.62557853712774
29,-19.302443368445438,147.26618697881065
30,-55.30243340798378,147.30152473318398
31,-88.69715307918601,-34.16546462961908
32,-54.595189511462024,82.2074099221036
33,-29.779111331079683,45.70487338178799
34,-18.60755620588507,83.4390299447304
35,30.204241061300166,47.1889229271287
36,0.6572165856250538,25.54421934479852
37,16.69755071201752,147.24518562691992
38,52.6975414932485,147.2124792514381
39,53.37301124752746,85.37442146287226
40,17.3849371854251,84.18668763756605
41,-1.1248846334805807,115.5313140264223
42,26.598198782180887,-81.69819215249905
43,10.257568318591563,-80.07414866641838
44,16.98254464429995,-64.65650222567528
45,-8.917558827476899,-109.59989877424874
46,0.6113225209412245,-96.18584548277235
47,9.563923343743905,-110.01065696568482
48,-14.73278732746144,-64.28295323471042
49,-8.439335916336574,-79.76680309175296
50,-24.823338383689517,-80.77934509664438
51,10.501035766172715,-19.06397702461878
52,1.3024463500787737,-32.74439126917992
53,-7.98464583693524,-19.174074983818887
54,10.60888901026956,-49.0706501742118
55,26.980875928286714,-47.8483215727046
56,-24.447527873561903,-47.554569876516766
57,-8.090197732756048,-48.96067838496068
58,-23.940168922585976,-15.157780268563123
59,-13.969872804236925,-1.3461433603501494
60,-42.68571203711052,-51.21152467489476
61,-34.697547139580664,-32.76748867540931
62,-43.68980617003026,11.589699794171494
63,-42.2929190171094,-10.835982695919805
64,-58.47000343414678,-6.411864481488693
65,16.155058593059763,-0.9640481160521742
66,26.400848670230598,-14.754825016078556
67,60.753332916448414,-4.269061290966618
68,44.676652429567426,-9.837340915414876
69,45.477580408369214,13.458782124617079
70,37.30243962104237,-32.72051797322383
71,45.171964217185014,-51.96317963410104
72,59.606461184231335,-125.76320655413183
73,72.57460121424376,-99.8420444318856
74,73.446721313845,-158.25655091980178
75,59.40110941535497,-65.56724077446071
76,44.87327391705091,-78.22952923238203
77,74.75802140614057,29.663732836779904
78,73.30241620708054,-32.63744987797857
79,44.19162737754582,-142.6409556109435
80,43.600099700132766,-119.80612880882636
81,25.39529013842468,-114.56777953521186
82,14.977967240569976,-128.11048501584148
83,36.60286478286146,-97.02822274959769
84,43.68980617003026,-168.4103002058285
85,31.05348085915028,-155.14611754263865
86,-0.9396036660969548,-170.31356910931746
87,14.400556651686554,-164.41956744135706
88,13.969872804236925,178.65385663964986
89,14.778208049262826,-145.09515020022448
90,-0.3248161474137002,-138.5999191471277
91,-44.96458448686777,-140.18822487056684
92,-32.36781726988156,-153.7555884410926
93,-45.47758040836922,-166.54121787538293
94,-15.695044616799553,-144.4306616131592
95,-15.141388635379846,-127.41063648048765
96,-16.155058593059763,179.03595188394783
97,-16.075029531797576,-163.87559297016676
98,-59.578101482075176,-121.32166456394975
99,-43.346226135273355,-117.34686744084425
100,-35.38034983772925,-95.35642389311576
101,-42.973588791946334,-76.51109604131823
102,-24.933749368959596,-113.36272163338587
103,-44.676652429567426,170.16265908458513
104,-60.753332916448414,175.7309387090334
105,-10.501035766172715,160.93602297538123
106,-26.400848670230598,165.24517498392146
107,-45.171964217185014,128.03682036589896
108,-37.30243962104237,147.27948202677618
109,-26.980875928286714,132.1516784272954
110,-74.75802140614057,-150.3362671632201
111,-71.35428672551394,-92.76152529117658
112,-70.69752744948569,-32.837345236033514
113,-73.446721313845,21.743449080198218
114,-57.151728106859096,-63.43776636835424
115,-73.30241620708054,147.36255012202145
116,-44.87327391705091,101.77047076761798
117,-59.40110941535497,114.4327592255393
118,-72.57460121424376,80.1579555681144
119,-59.606461184231335,54.23679344586819
120,-14.977967240569976,51.88951498415854
121,-25.39529013842468,65.43222046478816
122,-9.563923343743904,69.98934303431518
123,-43.600099700132766,60.193871191173635
124,-44.19162737754582,37.35904438905651
125,-26.598198782180887,98.30180784750095
126,-36.60286478286147,82.97177725040233
127,15.141388635379846,52.58936351951235
128,15.695044616799553,35.5693383868408
129,0.3248161474137002,41.400080852872286
130,32.36781726988156,26.244411558907405
131,44.96458448686777,39.81177512943317
132,0.9396036660969548,9.686430890682548
133,16.075029531797576,16.124407029833243
134,-14.778208049262826,34.90484979977553
135,-14.400556651686554,15.580432558642944
136,-31.05348085915028,24.853882457361372
137,24.447527873561903,132.44543012348322
138,34.69754713958065,147.2325113245907
139,42.68571203711052,128.78847532510522
140,23.940168922585976,164.8422197314369
141,7.98464583693524,160.82592501618112
142,58.47000343414678,173.5881355185113
143,42.2929190171094,169.1640173040802
144,42.97358879194635,103.48890395868177
145,35.38034983772925,84.64357610688424
146,24.823338383689517,99.22065490335564
147,43.346226135273355,62.653132559155765
148,59.578101482075176,58.67833543605026
149,8.917558827476897,70.40010122575126
150,24.933749368959596,66.63727836661414
151,57.151728106859096,116.56223363164577
152,70.69752744948569,147.16265476396654
153,71.35428672551394,87.23847470882342
154,14.73278732746144,115.7170467652896
155,8.090197732756046,131.0393216150393
156,-10.608889010269559,130.92934982578822
157,-16.982544644299946,115.34349777432473
158,-1.302446350078774,147.25560873082011
159,8.439335916336578,100.23319690824705
160,-0.6113225209412245,83.81415451722768
161,-10.257568318591563,99.92585133358165
