model,edge,reverse,sphere_t2,sphere_q,sphere_odds_raw,sphere_odds_canonical,sphere_cross_track,wgs84_t2,wgs84_q,wgs84_odds_raw,wgs84_odds_canonical,wgs84_cross_track,ellipsoid_factor,edge_length_km,usable_under_150km_crosstrack
T_EXACT_V1_627,apex_to_miami,False,1.0948292875663703,1.046340904087368,-22.579207822848467,-22.579207822848467,2.475495292655443,0.9997500624843789,0.9998750234326182,8000.499968753462,8000.499968753462,305.5041348847396,-354.33041015095114,1383.0441368520321,False
T_EXACT_V1_627,apex_to_san_juan,True,0.8353573258414632,0.9139788432132678,10.625047108808925,0.09411722976465002,4.186057693614082,0.8347913021744564,0.913669142619174,10.583343781572344,0.0944880956944056,465.58637281863975,1.0039404679747053,2937.097188632623,False
T_EXACT_FLATFACE,apex_to_miami,False,0.6489865592858076,0.8055970204052443,4.143954079739713,4.143954079739713,11.412277817595854,0.6448387903024244,0.8030185491646034,4.076620137373385,4.076620137373385,1268.0581993514438,0.9837512817298019,1440.3910308145294,False
T_EXACT_FLATFACE,apex_to_san_juan,True,1.315911385478861,1.1471318082412592,-7.796626860999707,-0.12826059497629683,7.089010034042657,0.9997500624843789,0.9998750234326182,8000.499968753462,0.00012499218847641686,1017.968999577171,-0.0009745174540903698,2035.1514827408066,False
