vertex_id,source_x,source_y,source_z,mapped_x,mapped_y,mapped_z,mapped_lat_deg,mapped_lon_deg
0,-0.4488183816493672,-0.27437270580577866,-0.8504596866415596,-0.44881838164936694,-0.27437270580577855,-0.8504596866415591,-58.261702683699504,-148.5616232556909
1,0.46200794319265737,0.2509540364234584,-0.8506296091893726,0.46200794319265714,0.2509540364234583,-0.8506296091893722,-58.28021531451987,28.509978305271396
2,-0.42087131630471036,0.7295441819479358,-0.5391035352303476,-0.4208713163047102,0.7295441819479355,-0.5391035352303474,-32.62263343606492,119.9804869241055
3,0.9995057361939073,-0.0303574065418565,0.00816769144427746,0.9995057361939068,-0.030357406541853874,0.00816769144428045,0.4679794514645798,-1.7396765856883059
4,-0.42902291363517225,0.7440177155975061,0.5122274674917934,-0.42902291363517225,0.7440177155975061,0.5122274674917934,30.81231446173414,119.96903780356368
5,-0.4742422152486412,-0.8803539306680168,0.00844263190209371,-0.4742422152486412,-0.8803539306680168,0.00844263190209371,0.48373292267710777,-118.31112221122719
6,-0.9995057361939073,0.0303574065418565,-0.00816769144427746,-0.9995057361939068,0.030357406541856487,-0.008167691444277456,-0.4679794514644082,178.26032341431156
7,0.42902291363517225,-0.7440177155975061,-0.5122274674917934,0.4290229136351722,-0.744017715597506,-0.5122274674917935,-30.812314461734143,-60.03096219643632
8,0.4742422152486412,0.8803539306680168,-0.00844263190209371,0.4742422152486412,0.8803539306680168,-0.00844263190209371,-0.48373292267710777,61.68887778877282
9,0.4488183816493672,0.27437270580577866,0.8504596866415596,0.4488098817904095,0.27437865295891495,0.8504622536054908,58.261982275966034,31.439412298592483
10,-0.46200794319265737,-0.2509540364234584,0.8506296091893726,-0.46200794319265714,-0.2509540364234583,0.8506296091893722,58.28021531451987,-151.4900216947286
11,0.42087131630471036,-0.7295441819479358,0.5391035352303476,0.18595162957696734,-0.7522563354981333,0.6320857514298122,39.20417368226871,-76.11528743141828
