mode,frequency_hz,is_rigid
1,0.000000,True
2,0.001067,True
3,0.001615,True
4,0.001960,True
5,0.002085,True
6,0.002499,True
7,13779.258035,False
8,13779.721192,False
9,26044.837990,False
10,31882.366295,False
11,31884.585639,False
12,35269.252694,False
13,50759.926875,False
14,52660.679385,False
15,52663.750626,False
16,69118.699011,False
