cell_index,angular_position_deg,amplitude_weight,phase_offset_rad,phase_offset_deg,capacitive_or_gap_loading_weight,active_floor_status
0,0.0,0.0,0.0,0.0,0.0,BLANKED
1,9.72972972972973,0.0,0.0,0.0,0.0,BLANKED
2,19.45945945945946,0.0,0.0,0.0,0.0,BLANKED
3,29.18918918918919,0.0,0.0,0.0,0.0,BLANKED
4,38.91891891891892,0.5443857548059321,-2.125707920271894,-121.79409230911122,0.5443857548059322,OK
5,48.648648648648646,0.585745175378079,-1.4609762634439274,-83.70777386413013,0.5857451753780789,OK
6,58.37837837837838,0.6390219530227378,-0.8861268968911433,-50.77133130488678,0.6390219530227378,OK
7,68.10810810810811,0.7026834118478567,-0.4743095486790534,-27.175935322064632,0.7026834118478567,OK
8,77.83783783783784,0.7748981275911633,-0.22404796644167096,-12.837002885596448,0.7748981275911633,OK
9,87.56756756756756,0.8535886143617247,-0.09339708779573763,-5.351258949508575,0.8535886143617247,OK
10,97.29729729729729,0.9364910901265607,-0.03435886846533609,-1.9686181519088939,0.9364910901265607,OK
11,107.02702702702703,1.0212206015980738,-0.011154691422912361,-0.6391167403036572,1.021220601598074,OK
12,116.75675675675676,1.105339634997863,-0.0031958726001596106,-0.18311001185064615,1.1053396349978633,OK
13,126.48648648648648,1.1864282388901544,-0.00080804313646782,-0.046297461384119706,1.1864282388901544,OK
14,136.21621621621622,1.262153641778616,-0.00018029879444690416,-0.010330359973104372,1.2621536417786159,OK
15,145.94594594594594,1.3303373616950407,-3.5502937651836545e-05,-0.0020341684877663354,1.3303373616950407,OK
16,155.67567567567568,1.3890178771592199,-6.1694854798349216e-06,-0.00035348547976178456,1.3890178771592196,OK
17,165.40540540540542,1.4365070565805942,-9.461212412103521e-07,-5.420875402903211e-05,1.4365070565805942,OK
18,175.13513513513513,1.471438722730542,-1.2804358615537857e-07,-7.336357080422931e-06,1.471438722730542,OK
19,184.86486486486487,1.4928079551738542,-1.5292625562052308e-08,-8.762029023794756e-07,1.4928079551738542,OK
20,194.59459459459458,1.5,-1.611830875755258e-09,-9.235110646965165e-08,1.5,OK
21,204.32432432432432,1.4928079551738542,-1.5292625562052308e-08,-8.762029023794756e-07,1.4928079551738542,OK
22,214.05405405405406,1.471438722730542,-1.2804358615537857e-07,-7.336357080422931e-06,1.471438722730542,OK
23,223.78378378378378,1.4365070565805942,-9.461212412103521e-07,-5.420875402903211e-05,1.4365070565805942,OK
24,233.51351351351352,1.3890178771592199,-6.1694854798349216e-06,-0.00035348547976178456,1.3890178771592196,OK
25,243.24324324324326,1.330337361695041,-3.550293765183655e-05,-0.002034168487766336,1.330337361695041,OK
26,252.97297297297297,1.2621536417786157,-0.00018029879444690416,-0.010330359973104372,1.2621536417786157,OK
27,262.7027027027027,1.1864282388901544,-0.00080804313646782,-0.046297461384119706,1.1864282388901544,OK
28,272.43243243243245,1.1053396349978628,-0.003195872600159611,-0.18311001185064618,1.105339634997863,OK
29,282.1621621621622,1.0212206015980736,-0.01115469142291236,-0.6391167403036571,1.0212206015980738,OK
30,291.8918918918919,0.9364910901265605,-0.03435886846533609,-1.9686181519088939,0.9364910901265605,OK
31,301.6216216216216,0.853588614361725,-0.09339708779573763,-5.351258949508575,0.853588614361725,OK
32,311.35135135135135,0.7748981275911633,-0.22404796644167096,-12.837002885596448,0.7748981275911633,OK
33,321.0810810810811,0.7026834118478564,-0.4743095486790534,-27.175935322064632,0.7026834118478564,OK
34,330.81081081081084,0.6390219530227375,-0.8861268968911433,-50.77133130488678,0.6390219530227375,OK
35,340.5405405405405,0.585745175378079,-1.4609762634439274,-83.70777386413013,0.5857451753780789,OK
36,350.27027027027026,0.5443857548059321,-2.125707920271894,-121.79409230911122,0.5443857548059322,OK
