x_mm,y_mm,z_mm,value_normalized,raw_max,units
0.0305,-2.6112,65.1697,3.729977e-01,7.146742e+02,1/1
3.3194,3.8997,64.4294,3.428166e-01,7.146742e+02,1/1
-5.2147,-0.9780,57.8479,1.130180e-01,7.146742e+02,1/1
-0.0033,2.6111,65.1703,3.677977e-01,7.146742e+02,1/1
-3.3051,-3.9108,64.4058,3.508492e-01,7.146742e+02,1/1
2.1411,6.4896,50.5150,1.505840e-01,7.146742e+02,1/1
4.5502,5.0987,50.5147,1.516380e-01,7.146742e+02,1/1
-7.9873,-0.0041,46.5338,2.743736e-01,7.146742e+02,1/1
7.6941,0.6978,40.4111,4.376998e-01,7.146742e+02,1/1
7.9875,0.0041,46.5357,2.764441e-01,7.146742e+02,1/1
-2.1434,-6.4899,50.5137,1.368142e-01,7.146742e+02,1/1
7.9712,0.0005,49.8053,1.745079e-01,7.146742e+02,1/1
3.3532,-3.8999,64.4288,3.500704e-01,7.146742e+02,1/1
1.1859,-2.0281,35.3007,5.294866e-01,7.146742e+02,1/1
-4.5566,-5.0920,50.5110,1.407118e-01,7.146742e+02,1/1
3.7741,6.5426,62.8573,2.859421e-01,7.146742e+02,1/1
1.0254,-1.7399,8.2540,7.073604e-01,7.146742e+02,1/1
-3.7793,-6.5536,62.8655,3.001840e-01,7.146742e+02,1/1
-3.3389,3.9108,64.4064,3.431334e-01,7.146742e+02,1/1
-7.9788,-0.0005,49.8005,1.719619e-01,7.146742e+02,1/1
-8.3271,0.0776,34.1325,5.677172e-01,7.146742e+02,1/1
5.6952,-9.8575,19.7378,7.028514e-01,7.146742e+02,1/1
6.5094,7.5612,33.4598,5.876229e-01,7.146742e+02,1/1
1.6770,-5.0320,57.8322,1.185422e-01,7.146742e+02,1/1
-7.6988,0.0000,59.6003,1.747152e-01,7.146742e+02,1/1
7.2034,-0.0000,75.9141,7.160547e-01,7.146742e+02,1/1
-5.5452,4.1529,35.3185,5.398575e-01,7.146742e+02,1/1
-7.2069,0.0000,75.9099,7.170081e-01,7.146742e+02,1/1
10.3630,-0.3133,28.4260,6.517101e-01,7.146742e+02,1/1
4.1560,-4.6538,84.0223,8.802056e-01,7.146742e+02,1/1
0.5555,8.7959,32.9320,5.785877e-01,7.146742e+02,1/1
2.0125,-5.8911,84.0219,8.760559e-01,7.146742e+02,1/1
3.8079,-6.5426,62.8567,2.988241e-01,7.146742e+02,1/1
8.4922,1.1727,31.6699,6.085148e-01,7.146742e+02,1/1
3.6000,6.2352,75.9141,7.115182e-01,7.146742e+02,1/1
3.2512,-3.8114,70.9468,5.660784e-01,7.146742e+02,1/1
