formation_id,name,date_reported,location,source_url,satellite_count,inner_outer_ratio,outer_diameter_m,inner_diameter_m,raw_measurement_text,provenance
CC-1987-09-05-BECKHAMPTON-AVEBURY-WILTSHIRE,"Beckhampton, Avebury, Wiltshire",1987-09-05,"Beckhampton, Avebury, Wiltshire",https://www.cropcirclearchives.co.uk/archives/1987/beckhampton87.html,,0.148649,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1988-06-07-DOWN-FARM-CORHAMPTON-HAMPSHIRE,"Down Farm, Corhampton, Hampshire",1988-06-07,"Down Farm, Corhampton, Hampshire",https://www.cropcirclearchives.co.uk/archives/1988/Corhampton88.html,,0.244444,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1988-06-11-LONGWOOD-ESTATE-CHEESEFOOT-HEAD-WINCHESTER-HAMPSHIRE-FO,"Longwood Estate, Cheesefoot Head, Winchester, Hampshire. Formed 11th June",1988-06-11,"Longwood Estate, Cheesefoot Head, Winchester, Hampshire. Formed 11th June",https://www.cropcirclearchives.co.uk/archives/1988/long88.html,,0.173913,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1988-06-13-LONGSTOCK-ANDOVER-HAMPSHIRE,"Longstock, Andover, Hampshire",1988-06-13,"Longstock, Andover, Hampshire",https://www.cropcirclearchives.co.uk/archives/1988/longstock88.html,,0.072289,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1988-06-16-YATEBURY-AVEBURY-TRUSLOE-WILTSHIRE,"Yatebury, Avebury Trusloe, Wiltshire",1988-06-16,"Yatebury, Avebury Trusloe, Wiltshire",https://www.cropcirclearchives.co.uk/archives/1988/yatebury88.html,,0.051136,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1988-06-21-OADBY-LEICESTER-LEICESTERSHIRE,"Oadby, Leicester, Leicestershire",1988-06-21,"Oadby, Leicester, Leicestershire",https://www.cropcirclearchives.co.uk/archives/1988/oadby1988a.html,,0.069767,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1988-06-25-CHEESEFOOT-HEAD-WINCHESTER-WILTSHIRE,"Cheesefoot Head, Winchester, Wiltshire",1988-06-25,"Cheesefoot Head, Winchester, Wiltshire",https://www.cropcirclearchives.co.uk/archives/1988/Cheesefoot88.html,,0.126866,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1988-07-08-UPTON-SCUDAMORE-WARMINSTER-WILTSHIRE,"Upton Scudamore, Warminster, Wiltshire",1988-07-08,"Upton Scudamore, Warminster, Wiltshire",https://www.cropcirclearchives.co.uk/archives/1988/upton88.html,,0.097087,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1988-07-15-HEYTESBURY-WARMINSTER-WILTSHIRE,"Heytesbury, Warminster, Wiltshire",1988-07-15,"Heytesbury, Warminster, Wiltshire",https://www.cropcirclearchives.co.uk/archives/1988/Heytesbury88.html,,0.123596,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1988-07-15-SILBURY-HILL-AVEBURY-WILTSHIRE-FORMED-15TH-JULY,"Silbury Hill, Avebury, Wiltshire. Formed 15th July",1988-07-15,"Silbury Hill, Avebury, Wiltshire. Formed 15th July",https://www.cropcirclearchives.co.uk/archives/1988/sil88.html,,0.088,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1988-08-07-HUNGERFORD-BERKSHIRE,"Hungerford, Berkshire",1988-08-07,"Hungerford, Berkshire",https://www.cropcirclearchives.co.uk/archives/1988/hungerford88.html,,0.076433,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1988-UNKNOWN-BECKHAMPTON-AVEBURY-WILTSHIRE-1988,"Beckhampton, Avebury, Wiltshire. 1988",1988-unknown,"Beckhampton, Avebury, Wiltshire. 1988",https://www.cropcirclearchives.co.uk/archives/1988/beckhampton88.html,,0.107914,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1989-06-21-CHERHILL-CALNE-WILTSHIRE,"Cherhill, Calne, Wiltshire",1989-06-21,"Cherhill, Calne, Wiltshire",https://www.cropcirclearchives.co.uk/archives/1989/cher89.html,,0.152778,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1989-06-23-LONGWOOD-WARREN-CHILCOMB-HAMPSHIRE,"Longwood Warren, Chilcomb, Hampshire",1989-06-23,"Longwood Warren, Chilcomb, Hampshire",https://www.cropcirclearchives.co.uk/archives/1989/longwood89.html,,0.098765,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1989-06-30-SILBURY-HILL-AVEBURY-WILTSHIRE,"Silbury Hill, Avebury, Wiltshire",1989-06-30,"Silbury Hill, Avebury, Wiltshire",https://www.cropcirclearchives.co.uk/archives/1989/Beckhampton89.html,6,0.186047,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1989-07-19-BLEAK-HILL-FARM-FORMED-19TH-JULY-1989,Bleak Hill Farm. Formed 19th July 1989,1989-07-19,Bleak Hill Farm. Formed 19th July 1989,https://www.cropcirclearchives.co.uk/archives/1989/bleak.html,,0.138462,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1989-07-19-MANSTON-RAMSGATE-KENT,"Manston Ramsgate, Kent",1989-07-19,"Manston Ramsgate, Kent",https://www.cropcirclearchives.co.uk/archives/1989/Manston1988a.html,,0.07362,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1989-08-05-WINTERBOURNE-STOKE-STONEHENGE-WILTSHIRE,"Winterbourne Stoke, Stonehenge, Wiltshire",1989-08-05,"Winterbourne Stoke, Stonehenge, Wiltshire",https://www.cropcirclearchives.co.uk/archives/1989/swas89.html,,0.091837,,,approximately 1 m,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1989-08-09-BECKHAMPTON-AVEBURY-WILTSHIRE,"Beckhampton, Avebury, Wiltshire",1989-08-09,"Beckhampton, Avebury, Wiltshire",https://www.cropcirclearchives.co.uk/archives/1989/Beckhampton89b.html,,0.044693,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1989-08-12-WINTERBOURNE-STOKE-STONEHENGE-WILTSHIRE,"Winterbourne Stoke, Stonehenge, Wiltshire",1989-08-12,"Winterbourne Stoke, Stonehenge, Wiltshire",https://www.cropcirclearchives.co.uk/archives/1989/LangtonHerring89.html,,0.059459,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1989-UNKNOWN-SCRATCHBURY-HILL-WARMINSTER-WILTSHIRE-FORMED-JUNE,"Scratchbury Hill, Warminster, Wiltshire. Formed June",1989-unknown,"Scratchbury Hill, Warminster, Wiltshire. Formed June",https://www.cropcirclearchives.co.uk/archives/1989/scrat89.html,,0.094017,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
