x_mm,y_mm,z_mm,value_normalized,raw_max_j_m3
-1.5867,4.0612,54.6126,4.699282e-33,2.659363e-04
-1.5864,-4.0614,54.6126,3.308103e-33,2.659363e-04
8.4689,-0.0000,31.0379,9.882726e-03,2.659363e-04
-1.5121,3.9324,63.3112,3.809375e-33,2.659363e-04
-1.5121,-3.9324,63.3112,7.152309e-33,2.659363e-04
4.1991,7.3956,31.0379,1.456523e-02,2.659363e-04
-4.1991,-7.3956,31.0379,6.246806e-03,2.659363e-04
-4.3052,7.3343,31.0379,6.925008e-03,2.659363e-04
-8.5043,-0.0613,31.0379,6.279585e-03,2.659363e-04
4.2699,-7.3956,31.0379,1.503672e-02,2.659363e-04
-1.1909,7.0131,13.7887,8.102520e-05,2.659363e-04
-6.6689,2.4752,13.7887,9.306155e-05,2.659363e-04
-5.4781,4.5379,13.7887,8.777854e-05,2.659363e-04
1.1909,7.0131,13.7887,8.195225e-05,2.659363e-04
-5.4781,-4.5379,13.7887,8.417051e-05,2.659363e-04
-6.6689,-2.4752,13.7887,9.154538e-05,2.659363e-04
5.4781,4.5379,13.7887,8.769766e-05,2.659363e-04
1.1909,-7.0131,13.7887,8.453499e-05,2.659363e-04
-1.1909,-7.0131,13.7887,8.424830e-05,2.659363e-04
6.6689,2.4752,13.7887,9.723591e-05,2.659363e-04
6.6689,-2.4752,13.7887,9.837432e-05,2.659363e-04
5.4781,-4.5379,13.7887,9.068800e-05,2.659363e-04
-5.4480,-0.8129,37.2642,7.593178e-03,2.659363e-04
2.0352,-5.1299,37.2642,2.173650e-01,2.659363e-04
1.9987,-9.2183,18.2863,1.814446e-04,2.659363e-04
6.9840,-6.3401,18.2863,1.651722e-04,2.659363e-04
-2.9496,-5.1299,37.2642,1.389613e-02,2.659363e-04
8.3590,-0.0000,35.1914,3.397819e-02,2.659363e-04
-4.1765,-7.2443,35.1914,2.208473e-02,2.659363e-04
-4.1855,7.2391,35.1914,2.139656e-02,2.659363e-04
-8.3620,-0.0052,35.1914,1.203267e-02,2.659363e-04
4.1765,7.2443,35.1914,1.502543e-01,2.659363e-04
4.1825,-7.2443,35.1914,1.420810e-01,2.659363e-04
-0.7799,-7.9934,59.0745,1.189684e-32,2.659363e-04
-0.7801,7.9934,59.0745,7.976891e-33,2.659363e-04
8.7703,3.2461,18.2863,1.985393e-04,2.659363e-04
8.7703,-3.2461,18.2863,1.974746e-04,2.659363e-04
1.6487,8.7637,33.1146,5.175361e-02,2.659363e-04
-1.6487,-8.7637,33.1146,3.244009e-02,2.659363e-04
-6.7653,5.8097,33.1146,1.076163e-02,2.659363e-04
-8.4140,-2.9541,33.1146,8.965212e-03,2.659363e-04
8.4140,2.9541,33.1146,1.730973e-02,2.659363e-04
8.4140,-2.9541,33.1146,1.706521e-02,2.659363e-04
1.7255,-8.7637,33.1146,4.988143e-02,2.659363e-04
-1.7255,8.7637,33.1146,3.274585e-02,2.659363e-04
-6.7269,-5.8762,33.1146,8.772612e-03,2.659363e-04
-8.4524,2.8876,33.1146,1.042524e-02,2.659363e-04
6.7269,5.8762,33.1146,2.446332e-02,2.659363e-04
6.7269,-5.8762,33.1146,2.487465e-02,2.659363e-04
-5.2987,-0.8086,45.9331,8.285589e-33,2.659363e-04
-4.6782,7.6713,18.2863,1.731285e-04,2.659363e-04
-8.9826,-0.2157,18.2863,1.953489e-04,2.659363e-04
4.3045,7.8871,18.2863,1.641550e-04,2.659363e-04
-4.3045,-7.8871,18.2863,1.653471e-04,2.659363e-04
1.9593,-4.9984,45.9331,3.635805e-01,2.659363e-04
-5.6223,5.9086,19.8961,2.917787e-04,2.659363e-04
-7.9282,-1.9148,19.8961,3.036411e-04,2.659363e-04
2.3058,7.8234,19.8961,3.132976e-04,2.659363e-04
-2.3058,-7.8234,19.8961,3.175531e-04,2.659363e-04
-1.9987,9.2183,18.2863,1.584701e-04,2.659363e-04
-8.9826,2.8783,18.2863,1.780125e-04,2.659363e-04
6.9840,6.3401,18.2863,1.632389e-04,2.659363e-04
-6.9840,-6.3401,18.2863,1.541614e-04,2.659363e-04
-8.6501,2.0259,41.6983,6.497162e-33,2.659363e-04
4.6891,2.7073,95.8743,3.071023e-05,2.659363e-04
4.6891,-2.7073,95.8743,3.072045e-05,2.659363e-04
-4.6891,-2.7073,95.8743,2.984320e-05,2.659363e-04
0.0000,-5.4145,95.8743,2.459370e-05,2.659363e-04
6.0887,-6.4835,41.6983,4.314765e-02,2.659363e-04
4.3918,0.0000,72.4011,1.720026e-01,2.659363e-04
-2.1959,-3.8034,72.4011,1.628679e-02,2.659363e-04
-4.3918,-0.0000,72.4011,9.563553e-03,2.659363e-04
2.1959,3.8034,72.4011,2.691770e-01,2.659363e-04
-2.1959,3.8034,72.4011,1.621618e-02,2.659363e-04
2.1959,-3.8034,72.4011,2.690649e-01,2.659363e-04
-1.1909,3.9191,12.6541,6.051225e-05,2.659363e-04
-2.7986,2.9909,12.6541,6.189007e-05,2.659363e-04
-3.9895,0.9282,12.6541,6.749095e-05,2.659363e-04
1.1909,3.9191,12.6541,6.092641e-05,2.659363e-04
-3.9895,-0.9282,12.6541,6.723843e-05,2.659363e-04
2.7986,2.9909,12.6541,6.228922e-05,2.659363e-04
-2.7986,-2.9909,12.6541,6.085896e-05,2.659363e-04
-1.1909,-3.9191,12.6541,6.140319e-05,2.659363e-04
1.1909,-3.9191,12.6541,6.232954e-05,2.659363e-04
3.9895,0.9282,12.6541,6.998142e-05,2.659363e-04
2.7986,-2.9909,12.6541,6.337640e-05,2.659363e-04
3.9895,-0.9282,12.6541,7.027009e-05,2.659363e-04
3.1029,4.0614,54.6126,5.518088e-01,2.659363e-04
3.1031,-4.0614,54.6126,5.518429e-01,2.659363e-04
8.0137,0.0000,48.2052,5.420660e-02,2.659363e-04
-4.0064,-6.9410,48.2052,1.373687e-32,2.659363e-04
-8.0142,-0.0009,48.2052,1.065932e-32,2.659363e-04
-4.0079,6.9401,48.2052,9.054749e-33,2.659363e-04
4.0064,6.9410,48.2052,2.624959e-01,2.659363e-04
4.0074,-6.9410,48.2052,2.627042e-01,2.659363e-04
-2.8787,-4.9984,45.9331,6.060868e-33,2.659363e-04
4.5168,-7.8234,19.8961,2.899633e-04,2.659363e-04
7.8652,0.0000,52.5527,5.260932e-02,2.659363e-04
-3.9325,-6.8116,52.5527,1.184551e-32,2.659363e-04
-7.8653,-0.0001,52.5527,1.084264e-32,2.659363e-04
-3.9328,6.8115,52.5527,1.382269e-32,2.659363e-04
3.9325,6.8116,52.5527,2.664198e-01,2.659363e-04
3.9327,-6.8116,52.5527,2.664559e-01,2.659363e-04
5.4477,0.0000,54.6126,2.795650e-01,2.659363e-04
-8.7230,-0.8129,39.5194,9.499908e-33,2.659363e-04
3.6727,-7.9661,39.5194,2.431484e-01,2.659363e-04
-1.5873,-8.2513,50.3790,7.470286e-33,2.659363e-04
-7.9395,-2.7510,50.3790,4.786734e-33,2.659363e-04
-6.3522,5.5003,50.3790,5.008289e-33,2.659363e-04
1.5873,8.2513,50.3790,8.679089e-01,2.659363e-04
7.9395,-2.7510,50.3790,4.568911e-02,2.659363e-04
7.9395,2.7510,50.3790,4.568911e-02,2.659363e-04
-6.3516,-5.5013,50.3790,6.066908e-33,2.659363e-04
1.5884,-8.2513,50.3790,8.685456e-01,2.659363e-04
-7.9401,2.7500,50.3790,4.508513e-33,2.659363e-04
6.3516,-5.5013,50.3790,4.568911e-02,2.659363e-04
-1.5884,8.2513,50.3790,7.396153e-33,2.659363e-04
6.3516,5.5013,50.3790,4.568911e-02,2.659363e-04
-8.5737,-0.8086,43.8772,1.825882e-32,2.659363e-04
3.5968,-7.8346,43.8772,2.449012e-01,2.659363e-04
-0.0000,5.4145,95.8743,2.481909e-05,2.659363e-04
-4.6891,2.7073,95.8743,3.032780e-05,2.659363e-04
3.0286,3.9324,63.3112,5.685168e-01,2.659363e-04
3.0286,-3.9324,63.3112,5.685230e-01,2.659363e-04
7.2698,0.0000,74.6823,5.102251e-02,2.659363e-04
-3.6349,-6.2958,74.6823,2.315673e-02,2.659363e-04
-7.2698,-0.0000,74.6823,1.128168e-02,2.659363e-04
-3.6349,6.2958,74.6823,2.308246e-02,2.659363e-04
3.6349,6.2958,74.6823,1.605486e-01,2.659363e-04
3.6349,-6.2958,74.6823,1.606471e-01,2.659363e-04
6.7448,-2.3471,91.8487,8.546318e-05,2.659363e-04
6.7448,2.3471,91.8487,8.529276e-05,2.659363e-04
5.4051,4.6676,91.8487,7.529280e-05,2.659363e-04
5.4051,-4.6676,91.8487,7.531606e-05,2.659363e-04
-6.7448,2.3471,91.8487,8.322561e-05,2.659363e-04
-1.3397,7.0148,91.8487,7.016502e-05,2.659363e-04
1.3397,-7.0148,91.8487,6.740316e-05,2.659363e-04
-5.4051,-4.6676,91.8487,7.400373e-05,2.659363e-04
-6.7448,-2.3471,91.8487,8.260837e-05,2.659363e-04
-5.4051,4.6676,91.8487,7.516865e-05,2.659363e-04
-1.3397,-7.0148,91.8487,6.767454e-05,2.659363e-04
1.3397,7.0148,91.8487,6.979262e-05,2.659363e-04
2.2964,7.9934,59.0745,9.998930e-01,2.659363e-04
2.2966,-7.9934,59.0745,1.000000e+00,2.659363e-04
7.5179,0.0000,65.5963,5.889652e-02,2.659363e-04
-3.7589,-6.5107,65.5963,5.251731e-33,2.659363e-04
-7.5179,-0.0000,65.5963,7.329333e-33,2.659363e-04
-3.7590,6.5107,65.5963,7.739409e-33,2.659363e-04
3.7589,6.5107,65.5963,2.911831e-01,2.659363e-04
3.7590,-6.5107,65.5963,2.911897e-01,2.659363e-04
-7.4087,9.0026,18.9711,1.710852e-04,2.659363e-04
-11.5008,-1.9148,18.9711,2.047920e-04,2.659363e-04
-4.0921,-10.9174,18.9711,1.910119e-04,2.659363e-04
4.0921,10.9174,18.9711,1.903101e-04,2.659363e-04
6.7910,0.0000,90.5026,1.489494e-04,2.659363e-04
3.3955,5.8811,90.5026,1.080446e-04,2.659363e-04
3.3955,-5.8811,90.5026,1.059250e-04,2.659363e-04
-6.7910,-0.0000,90.5026,1.376638e-04,2.659363e-04
-3.3955,-5.8811,90.5026,1.068096e-04,2.659363e-04
-3.3955,5.8811,90.5026,1.100500e-04,2.659363e-04
5.2989,0.0000,63.3112,2.797938e-01,2.659363e-04
7.3690,0.0000,69.9418,5.738476e-02,2.659363e-04
-3.6845,-6.3818,69.9418,1.959542e-32,2.659363e-04
-7.3690,-0.0000,69.9418,1.325096e-32,2.659363e-04
3.6845,6.3818,69.9418,2.967539e-01,2.659363e-04
-3.6845,6.3818,69.9418,1.455200e-32,2.659363e-04
3.6845,-6.3818,69.9418,2.967551e-01,2.659363e-04
4.6411,6.7257,56.9016,3.387852e-01,2.659363e-04
4.6413,-6.7257,56.9016,3.388248e-01,2.659363e-04
-1.4886,-7.7355,67.7691,8.198939e-33,2.659363e-04
-7.4435,-2.5786,67.7691,9.495645e-33,2.659363e-04
7.4435,-2.5786,67.7691,5.198512e-02,2.659363e-04
7.4435,2.5786,67.7691,5.198512e-02,2.659363e-04
-5.9549,5.1569,67.7691,5.718995e-33,2.659363e-04
1.4886,7.7355,67.7691,9.878388e-01,2.659363e-04
-5.9549,-5.1570,67.7691,7.506114e-33,2.659363e-04
1.4886,-7.7355,67.7691,9.878603e-01,2.659363e-04
5.9549,-5.1570,67.7691,5.198512e-02,2.659363e-04
-7.4435,2.5786,67.7691,5.029838e-33,2.659363e-04
5.9549,5.1570,67.7691,5.198512e-02,2.659363e-04
-1.4886,7.7355,67.7691,5.761389e-33,2.659363e-04
4.5668,6.5967,61.2474,3.489059e-01,2.659363e-04
4.5668,-6.5967,61.2474,3.489129e-01,2.659363e-04
11.9423,-0.0000,28.9482,5.202973e-03,2.659363e-04
7.1962,-2.4932,76.8290,2.021012e-02,2.659363e-04
7.1962,2.4932,76.8290,2.022740e-02,2.659363e-04
-7.1962,-2.4932,76.8290,9.498550e-03,2.659363e-04
-1.4390,-7.4787,76.8290,3.200862e-02,2.659363e-04
-5.7573,4.9856,76.8290,9.684801e-03,2.659363e-04
1.4390,7.4787,76.8290,4.238069e-02,2.659363e-04
-7.1963,2.4932,76.8290,9.468443e-03,2.659363e-04
-5.7573,-4.9856,76.8290,9.752345e-03,2.659363e-04
1.4390,-7.4787,76.8290,4.192265e-02,2.659363e-04
-1.4390,7.4787,76.8290,3.205362e-02,2.659363e-04
5.7573,-4.9856,76.8290,2.674601e-02,2.659363e-04
5.7573,4.9856,76.8290,2.685436e-02,2.659363e-04
-5.9358,-10.4037,28.9482,3.076581e-03,2.659363e-04
-6.0419,10.3424,28.9482,3.255604e-03,2.659363e-04
-11.9777,-0.0613,28.9482,2.854916e-03,2.659363e-04
5.9358,10.4037,28.9482,6.137411e-03,2.659363e-04
3.5614,-6.1684,78.9757,1.060087e-02,2.659363e-04
3.5614,6.1684,78.9757,1.070463e-02,2.659363e-04
7.1227,0.0000,78.9757,7.074508e-03,2.659363e-04
-7.1227,0.0000,78.9757,5.855543e-03,2.659363e-04
-3.5614,-6.1684,78.9757,5.032249e-03,2.659363e-04
-3.5614,6.1684,78.9757,5.064101e-03,2.659363e-04
-4.5871,-7.9661,39.5194,1.319131e-32,2.659363e-04
6.0066,-10.4037,28.9482,6.122690e-03,2.659363e-04
-8.6466,-3.6474,41.6983,8.034914e-33,2.659363e-04
1.1808,-9.3171,41.6983,8.604819e-01,2.659363e-04
2.3818,0.0000,3.9379,5.104380e-06,2.659363e-04
0.5954,1.0313,3.9379,3.741913e-06,2.659363e-04
-0.5954,-1.0313,3.9379,3.684181e-06,2.659363e-04
-2.3818,0.0000,3.9379,5.048802e-06,2.659363e-04
