family,active_cells,lock_compliant_33,lock_compliant_35,abs_S,abs_d_eff,relative_asymmetry,arg_d_eff_deg,anti_alignment_error_deg,rotation_invariant,trials,null_mean,null_p95,null_max,beats_null_p95,null_degenerate,computes_force,claim
single_blank,36,False,False,1.0,0.027777777777777853,0.027777777777777853,180.00000000000009,8.526512829121202e-14,True,400,0.027777777777777773,0.02777777777777785,0.027777777777777853,False,True,False,MODEL_OUTPUT
two_adjacent_blanks,35,False,True,1.992794977085053,0.05693699934528728,0.05693699934528728,184.86486486486484,0.0,True,400,0.03452850562262416,0.056320909162726265,0.056936999345287294,True,False,False,MODEL_OUTPUT
two_separated_blanks,35,False,True,1.443912187909049,0.04125463394025859,0.04125463394025859,223.78378378378372,5.684341886080802e-14,True,400,0.03452850562262416,0.056320909162726265,0.056936999345287294,False,False,False,MODEL_OUTPUT
near_opposite_blanks,35,False,True,0.08488240639229692,0.0024252116112084884,0.0024252116112084884,267.56756756756613,1.4210854715202004e-12,True,400,0.03452850562262416,0.056320909162726265,0.056936999345287294,False,False,False,MODEL_OUTPUT
graded_current_taper,33,True,False,3.928260870952051,0.17864437127665173,0.17864437127665173,194.5945945945946,0.0,True,400,0.0570128121659767,0.10948082213062837,0.14179323094653098,True,False,False,MODEL_OUTPUT
graded_phase_taper,33,True,False,3.928260870952051,0.1460143182196956,0.1460143182196956,220.09485691173376,25.500262317139175,True,400,0.05821175546484434,0.11011753973623441,0.1481910192863396,True,False,False,MODEL_OUTPUT
capacitive_gap_weighting,33,True,False,3.928260870952051,0.28303267828559026,0.28303267828559026,194.59459459459455,2.842170943040401e-14,True,400,0.06639642378184002,0.12368053920862515,0.17389950130497575,True,False,False,MODEL_OUTPUT
