mod,lag_rad,active_cells,lock_compliant_33,abs_d_eff,arg_d_eff_deg,direction_offset_deg,null_p95,beats_null_p95,rotation_invariant,computes_force
0.0,0.0,33,True,0.11903820821066824,194.5945945945946,2.842170943040401e-14,0.09977518992350244,True,True,False
0.0,0.25,33,True,0.12198821274804551,204.12450319315505,9.529908598560468,0.10156875240904124,True,True,False
0.0,0.5,33,True,0.13037455128507652,212.47629647580578,17.8817018812112,0.10712021797393116,True,True,False
0.0,0.75,33,True,0.1430722701168834,219.0161599088842,24.42156531428961,0.11021601164225513,True,True,False
0.0,1.0,33,True,0.15879654695233375,223.6927926827638,29.098198088169227,0.1161341810958613,True,True,False
0.0,1.25,33,True,0.1764279973908121,226.76421082417363,32.16961622957905,0.12179281799674972,True,True,False
0.0,1.5,33,True,0.19509982572864565,228.56270394459025,33.96810934999567,0.1310075776266352,True,True,False
0.0,1.75,33,True,0.21416708757068303,229.38715966797403,34.79256507337945,0.1396004595138606,True,True,False
0.0,2.0,33,True,0.23314985016712167,229.47538231352013,34.880787718925546,0.14738811439930918,True,True,False
0.0,2.25,33,True,0.251684573947088,229.0080594832255,34.41346488863093,0.1535593938185193,True,True,False
0.0,2.5,33,True,0.26948968721244043,228.12077055219024,33.526175957595655,0.1613640772229429,True,True,False
0.1,0.0,33,True,0.16148372271746939,194.59459459459458,0.0,0.1051337256919415,True,True,False
0.1,0.25,33,True,0.16365562940813255,201.02160316169994,6.427008567105361,0.10708550979831205,True,True,False
0.1,0.5,33,True,0.16995689579558165,206.93141721258627,12.336822617991686,0.10898984190322904,True,True,False
0.1,0.75,33,True,0.1798192459039918,211.95767745665054,17.36308286205596,0.1124295799878226,True,True,False
0.1,1.0,33,True,0.19249019484970878,215.9407967487882,21.346202154193605,0.11673219180639775,True,True,False
0.1,1.25,33,True,0.20719433335781973,218.88917042134395,24.294575826749366,0.12208656031471163,True,True,False
0.1,1.5,33,True,0.22322993932672933,220.90651527678727,26.311920682192692,0.1277438125367872,True,True,False
0.1,1.75,33,True,0.24000402899436368,222.13192041337837,27.537325818783785,0.13360414145461802,True,True,False
0.1,2.0,33,True,0.2570315665819674,222.70494548680225,28.110350892207663,0.14539858676267137,True,True,False
0.1,2.25,33,True,0.27392050685500563,222.75021698007347,28.155622385478893,0.15801438723412503,True,True,False
0.1,2.5,33,True,0.29035440174070154,222.373104208136,27.778509613541416,0.16174791403047034,True,True,False
0.2,0.0,33,True,0.20294220845285704,194.59459459459458,0.0,0.1129739233748445,True,True,False
0.2,0.25,33,True,0.20463046061138102,199.21544146955725,4.620846874962666,0.11365839002626915,True,True,False
0.2,0.5,33,True,0.2095761737390932,203.5655548941011,8.970960299506515,0.11810263572728753,True,True,False
0.2,0.75,33,True,0.21744991685231208,207.42825786065606,12.833663266061478,0.11926628007797707,True,True,False
0.2,1.0,33,True,0.22778061925089785,210.67085067011658,16.076256075521997,0.12024547739015565,True,True,False
0.2,1.25,33,True,0.2400344399286068,213.2441833540182,18.649588759423608,0.12582339875670848,True,True,False
0.2,1.5,33,True,0.25367836059383825,215.162677353688,20.568082759093414,0.13456777901636166,True,True,False
0.2,1.75,33,True,0.26821922440732343,216.4794322410407,21.88483764644613,0.14246938204591367,True,True,False
0.2,2.0,33,True,0.2832213356542115,217.26557196743263,22.670977372838053,0.14481796538017974,True,True,False
0.2,2.25,33,True,0.2983101340953432,217.5965441512784,23.001949556683826,0.15337772311200112,True,True,False
0.2,2.5,33,True,0.31316870847742995,217.54448975927625,22.949895164681664,0.16223896463710255,True,True,False
0.3,0.0,33,True,0.2434476982939381,194.59459459459458,0.0,0.12188748977189497,True,True,False
0.3,0.25,33,True,0.24479473261499962,198.0358144513691,3.4412198567745236,0.12135843572210465,True,True,False
0.3,0.5,33,True,0.24876227983711988,201.31954081923058,6.724946224636,0.12337873967161933,True,True,False
0.3,0.75,33,True,0.25514176335984795,204.31109531943275,9.71650072483817,0.12835324348850136,True,True,False
0.3,1.0,33,True,0.26362130341774265,206.9139175331681,12.31932293857352,0.1353627015614271,True,True,False
0.3,1.25,33,True,0.27382629598466723,209.07408034310825,14.479485748513667,0.13353349921814317,True,True,False
0.3,1.5,33,True,0.28535792043974234,210.77573543327964,16.181140838685053,0.13965822877813605,True,True,False
0.3,1.75,33,True,0.2978228861304324,212.03176663829507,17.437172043700485,0.14759929135179614,True,True,False
0.3,2.0,33,True,0.31085267839163644,212.87365606533064,18.279061470736053,0.15558046250560603,True,True,False
0.3,2.25,33,True,0.32411379818339064,213.34293533355662,18.748340738962042,0.16184108756845442,True,True,False
0.3,2.5,33,True,0.3373116624413914,213.48502059045757,18.890425995862984,0.16839796347196817,True,True,False
0.4,0.0,33,True,0.28303267828559026,194.59459459459455,2.842170943040401e-14,0.1334323122711666,True,True,False
0.4,0.25,33,True,0.2841184613064534,197.2055497058055,2.6109551112109273,0.1343110753635347,True,True,False
0.4,0.5,33,True,0.28732734243303026,199.7187328550645,5.12413826046992,0.1354272804109055,True,True,False
0.4,0.75,33,True,0.292519802627658,202.04708332566537,7.452488731070787,0.1420612582155267,True,True,False
0.4,1.0,33,True,0.29948126932367813,204.12228853439782,9.527693939803243,0.14541787916892202,True,True,False
0.4,1.25,33,True,0.30794406627430776,205.89864042075874,11.304045826164156,0.14595073028077107,True,True,False
0.4,1.5,33,True,0.3176104990192979,207.35278234505202,12.758187750457438,0.15078724755711465,True,True,False
0.4,1.75,33,True,0.32817330123285793,208.4805499803149,13.885955385720308,0.15720345403760994,True,True,False
0.4,2.0,33,True,0.3393314679443265,209.29244580858582,14.697851213991243,0.1637987720602954,True,True,False
0.4,2.25,33,True,0.3508011340537086,209.80900898020764,15.214414385613054,0.17038240350629538,True,True,False
0.4,2.5,33,True,0.36232217016714435,210.0568297510387,15.462235156444109,0.17412234408838023,True,True,False
0.5,0.0,33,True,0.3217281745346644,194.59459459459458,0.0,0.1461035094654747,True,True,False
0.5,0.25,33,True,0.3226023355763412,196.58970060326274,1.9951060086681593,0.14735361330064736,True,True,False
0.5,0.5,33,True,0.32519170636892386,198.52174599624072,3.9271514016461424,0.15086829451644077,True,True,False
0.5,0.75,33,True,0.32940002057254303,200.33305339605704,5.738458801462457,0.15409296270181033,True,True,False
0.5,1.0,33,True,0.3350764123193667,201.9756738392076,7.381079244613005,0.1548113949159417,True,True,False
0.5,1.25,33,True,0.34202773224665045,203.41401172998997,8.819417135395383,0.1573387230989722,True,True,False
0.5,1.5,33,True,0.35003244614683765,204.62557472423134,10.03098012963676,0.16237080047636762,True,True,False
0.5,1.75,33,True,0.358854129213888,205.60015443472793,11.005559840133344,0.16838603200222813,True,True,False
0.5,2.0,33,True,0.3682531798003851,206.33798943931285,11.743394844718267,0.17397298534206768,True,True,False
0.5,2.25,33,True,0.37799609297097553,206.8474819608761,12.252887366281527,0.17809732272585962,True,True,False
0.5,2.5,33,True,0.38786222301467327,207.14291443407384,12.548319839479262,0.1838612550796052,True,True,False
0.6,0.0,33,True,0.3595638343116699,194.59459459459455,2.842170943040401e-14,0.1606948678063994,True,True,False
0.6,0.25,33,True,0.36025949786522476,196.114807537158,1.5202129425634041,0.1613168941695114,True,True,False
0.6,0.5,33,True,0.36232354283319973,197.59363893642742,2.9990443418328425,0.1623670594983327,True,True,False
0.6,0.75,33,True,0.36568879935153753,198.99251965662737,4.397925062032783,0.16476701832973858,True,True,False
0.6,1.0,33,True,0.37024860120521624,200.27808244327574,5.683487848681153,0.16781023301787495,True,True,False
0.6,1.25,33,True,0.37586383440630616,201.42382008665436,6.829225492059777,0.17072176724892074,True,True,False
0.6,1.5,33,True,0.38237130850529394,202.4108854987058,7.816290904111213,0.17434606245861975,True,True,False
0.6,1.75,33,True,0.38959244061490217,203.2280878954505,8.633493300855918,0.1783850038989164,True,True,False
0.6,2.0,33,True,0.3973414265092626,203.8712660438071,9.276671449212529,0.183830761818053,True,True,False
0.6,2.25,33,True,0.40543235673209743,204.34227181399373,9.74767721939915,0.18783584401150527,True,True,False
0.6,2.5,33,True,0.41368502318269623,204.64778560293206,10.053191008337478,0.1920903420133931,True,True,False
0.7,0.0,33,True,0.3965680018054831,194.59459459459458,0.0,0.17789388311105436,True,True,False
0.7,0.25,33,True,0.39710853879049307,195.73749468099274,1.142900086398157,0.1783176844705339,True,True,False
0.7,0.5,33,True,0.3987143624587932,196.85332133476427,2.258726740169692,0.179529301679104,True,True,False
0.7,0.75,33,True,0.40133902730337356,197.91648759970442,3.3218930051098425,0.1809893825489171,True,True,False
0.7,1.0,33,True,0.40490806325682965,198.90420498009013,4.309610385495546,0.1825892182630162,True,True,False
0.7,1.25,33,True,0.40932300731959015,199.79748371981512,5.202889125220537,0.1851247132632643,True,True,False
0.7,1.5,33,True,0.4144663808092551,200.58174639550074,5.987151800906162,0.18846553517356723,True,True,False
0.7,1.75,33,True,0.42020711775100955,201.24704808883172,6.652453494237136,0.19231871456322636,True,True,False
0.7,2.0,33,True,0.42640599136659046,201.78795307434333,7.193358479748753,0.19590078571099734,True,True,False
0.7,2.25,33,True,0.43292068388626964,202.20315268776312,7.60855809316854,0.19752926247488975,True,True,False
0.7,2.5,33,True,0.43961026673446785,202.49492020990516,7.900325615310578,0.1997127865589739,True,True,False
0.8,0.0,33,True,0.43276778893789136,194.59459459459458,0.0,0.19279196530792644,True,True,False
0.8,0.25,33,True,0.43317043063747845,195.43051293125583,0.8359183366612513,0.19372246525989387,True,True,False
0.8,0.5,33,True,0.43436786501595953,196.24922210500864,1.654627510414059,0.19501389376283143,True,True,False
0.8,0.75,33,True,0.43632911305539146,197.03428225023586,2.439687655641279,0.19669163381346846,True,True,False
0.8,1.0,33,True,0.4390041397497357,197.77072227369845,3.176127679103871,0.1985491302009162,True,True,False
0.8,1.25,33,True,0.4423260926552583,198.4456112959002,3.8510167013056105,0.1983746076585898,True,True,False
0.8,1.5,33,True,0.44621415087692246,199.04846404845725,4.453869453862666,0.2001647115217292,True,True,False
0.8,1.75,33,True,0.4505767570662692,199.57146608067703,4.976871486082445,0.20322065298118655,True,True,False
0.8,2.0,33,True,0.45531500533574576,200.00952699878334,5.414932404188761,0.20719343187161396,True,True,False
0.8,2.25,33,True,0.4603259844034168,200.3601869549117,5.765592360317129,0.21141456577794507,True,True,False
0.8,2.5,33,True,0.4655059181280334,200.6234113859975,6.028816791402932,0.2134405828999775,True,True,False
0.9,0.0,33,True,0.4681891416097802,194.59459459459458,0.0,0.20774254163415712,True,True,False
0.9,0.25,33,True,0.46846705651288173,195.17588783641366,0.5812932418190826,0.20796988692913515,True,True,False
0.9,0.5,33,True,0.46929439255192473,195.74701663716442,1.1524220425698388,0.20848745863150522,True,True,False
0.9,0.75,33,True,0.47065216910176255,196.29818545337073,1.7035908587761526,0.2092964291326708,True,True,False
0.9,1.0,33,True,0.4725095523909898,196.82031129508442,2.2257167004898406,0.21038865577307309,True,True,False
0.9,1.25,33,True,0.4748249979838647,197.30532005318065,2.7107254585860687,0.21174695135249488,True,True,False
0.9,1.5,33,True,0.4775477411836131,197.74637909555867,3.1517845009640837,0.21334575376574186,True,True,False
0.9,1.75,33,True,0.48061954279453206,198.1380568710654,3.5434622764708195,0.21581533537074085,True,True,False
0.9,2.0,33,True,0.48397659109741636,198.4764076228865,3.88181302829193,0.21731820749807196,True,True,False
0.9,2.25,33,True,0.48755146384202863,198.75898579557938,4.164391200984795,0.22064622517242602,True,True,False
0.9,2.5,33,True,0.4912750645318669,198.98479956554542,4.390204970950833,0.22440754242310845,True,True,False
