wire,digits,source_label_or_note,role,status_before_r1011d,parse_status,terminal,payload_text,payload_decimal_digits,depth,payload_width_bits,E3,state_1,state_2,state_3,children,payload_binary,r1011d_status
683742917,9,unlabelled,LEGACY_CORPUS,PROVISIONAL_CORPUS; NO_EARTH_BRIDGE,NOT_16_PREFIX_FAMILY,,,,,,,,,,,,NOT_16_PREFIX_FAMILY
1643789253,10,Stonehenge variable-length,LEGACY_CORPUS,VARIABLE_CODEC_UNRESOLVED; OLD_AFFINE_BRIDGE_SUPERSEDED,PARSED,3,4378925,7,1,24,2,5,40,37,5,010000101101000100101101,SEGMENTED_E3_PARSED
1658274383,10,"CYYT St. John's, Newfoundland and Labrador",LABELLED_CALIBRATION_OR_CORRUPTED_RECORD,NEW EXACT SAME_LOCATION_PAIR; VARIABLE_CODEC_UNRESOLVED,PARSED,3,5827438,7,1,24,2,49,53,45,6,010110001110101101101110,SEGMENTED_E3_PARSED
1658729343,10,,NEW_LATE_INTAKE,,PARSED,3,5872934,7,1,24,2,51,14,36,6,010110011001110100100110,SEGMENTED_E3_PARSED
1658792343,10,Gander NATO listening station/base behind CYQX / Argentia Naval Base - USA,LABELLED_CALIBRATION_OR_CORRUPTED_RECORD,CORRUPTED_COLLISION; EXCLUDED_FROM_FIT,PARSED,3,5879234,7,1,24,2,51,26,56,2,010110011011010111000010,SEGMENTED_E3_PARSED
1672875493,10,Toronto variable-length,LEGACY_CORPUS,VARIABLE_CODEC_UNRESOLVED; OLD_AFFINE_BRIDGE_SUPERSEDED,PARSED,3,7287549,7,1,24,3,30,25,31,5,011011110011001011111101,SEGMENTED_E3_PARSED
1678295343,10,unlabelled,VARIABLE_DEPTH_CORPUS,NO_VALIDATED_EARTH_BRIDGE,PARSED,3,7829534,7,1,24,3,46,60,3,6,011101110111100000011110,SEGMENTED_E3_PARSED
1678523973,10,unlabelled,VARIABLE_DEPTH_CORPUS,NO_VALIDATED_EARTH_BRIDGE,PARSED,3,7852397,7,1,24,3,47,40,45,5,011101111101000101101101,SEGMENTED_E3_PARSED
1687209343,10,"received without description, together with 168724343",SEALED_UNLABELLED_HOLDOUT,SEALED_HOLDOUT; DO_NOT_FIT,PARSED,3,8720934,7,1,24,4,10,9,4,6,100001010001001000100110,SEGMENTED_E3_PARSED
2736598321,10,unlabelled,VARIABLE_DEPTH_CORPUS,NO_VALIDATED_EARTH_BRIDGE,NOT_16_PREFIX_FAMILY,,,,,,,,,,,,NOT_16_PREFIX_FAMILY
4270532947,10,unlabelled,VARIABLE_DEPTH_CORPUS,NO_VALIDATED_EARTH_BRIDGE,NOT_16_PREFIX_FAMILY,,,,,,,,,,,,NOT_16_PREFIX_FAMILY
16752349783,11,unlabelled,VARIABLE_DEPTH_CORPUS,NO_VALIDATED_EARTH_BRIDGE,PARSED,3,75234978,8,2,27,4,30,63,58,4 2,100011110111111111010100010,SEGMENTED_E3_PARSED
16782953437,11,unlabelled,VARIABLE_DEPTH_CORPUS,NO_VALIDATED_EARTH_BRIDGE,PARSED,7,78295343,8,2,27,4,42,43,4,5 7,100101010101011000100101111,SEGMENTED_E3_PARSED
162875432975,12,unlabelled,SEPARATE_NONTERRA_VECTOR_FAMILY,NO_EARTH_BRIDGE,PARSED,5,287543297,9,3,30,2,9,7,8,0 0 1,010001001000111001000000000001,SEGMENTED_E3_PARSED
162875439275,12,unlabelled,SEPARATE_NONTERRA_VECTOR_FAMILY,NO_EARTH_BRIDGE,PARSED,5,287543927,9,3,30,2,9,7,9,1 6 7,010001001000111001001001110111,SEGMENTED_E3_PARSED
162875439285,12,unlabelled,SEPARATE_NONTERRA_VECTOR_FAMILY,NO_EARTH_BRIDGE,PARSED,5,287543928,9,3,30,2,9,7,9,1 7 0,010001001000111001001001111000,SEGMENTED_E3_PARSED
162875493612,12,unlabelled,SEPARATE_NONTERRA_VECTOR_FAMILY,NO_EARTH_BRIDGE,PARSED,2,287549361,9,3,30,2,9,7,19,6 6 1,010001001000111010011110110001,SEGMENTED_E3_PARSED
162877542769,12,unlabelled,SEPARATE_NONTERRA_VECTOR_FAMILY,NO_EARTH_BRIDGE,PARSED,9,287754276,9,3,30,2,9,13,36,0 4 4,010001001001101100100000100100,SEGMENTED_E3_PARSED
276354297635,12,unlabelled,VARIABLE_DEPTH_CORPUS,NO_VALIDATED_EARTH_BRIDGE,NOT_16_PREFIX_FAMILY,,,,,,,,,,,,NOT_16_PREFIX_FAMILY
