child,input_state,input_octal,source_known,source_known_output,affine_family_consensus,consensus_output,possible_output_count,possible_outputs,input_hyperplane_mask,input_hyperplane_constant,input_in_fixed_hyperplane,output_hyperplane_mask,output_hyperplane_constant,evidence_status
5,45,55,False,,False,,32,0 1 6 7 10 11 12 13 16 17 22 23 26 27 28 29 32 33 38 39 42 43 44 45 48 49 54 55 58 59 60 61,10,0,False,14,1,UNDERDETERMINED
5,46,56,False,,True,18,1,18,10,0,True,14,1,AFFINE_FAMILY_CONDITIONAL_CONSENSUS
5,47,57,False,,True,24,1,24,10,0,True,14,1,AFFINE_FAMILY_CONDITIONAL_CONSENSUS
5,48,60,False,,True,41,1,41,10,0,True,14,1,AFFINE_FAMILY_CONDITIONAL_CONSENSUS
5,49,61,False,,True,35,1,35,10,0,True,14,1,AFFINE_FAMILY_CONDITIONAL_CONSENSUS
5,50,62,False,,False,,32,0 1 6 7 10 11 12 13 16 17 22 23 26 27 28 29 32 33 38 39 42 43 44 45 48 49 54 55 58 59 60 61,10,0,False,14,1,UNDERDETERMINED
5,51,63,False,,False,,32,0 1 6 7 10 11 12 13 16 17 22 23 26 27 28 29 32 33 38 39 42 43 44 45 48 49 54 55 58 59 60 61,10,0,False,14,1,UNDERDETERMINED
5,52,64,True,31,True,31,1,31,10,0,True,14,1,SOURCE_KNOWN
5,53,65,False,,True,21,1,21,10,0,True,14,1,AFFINE_FAMILY_CONDITIONAL_CONSENSUS
5,54,66,False,,False,,32,0 1 6 7 10 11 12 13 16 17 22 23 26 27 28 29 32 33 38 39 42 43 44 45 48 49 54 55 58 59 60 61,10,0,False,14,1,UNDERDETERMINED
5,55,67,False,,False,,32,0 1 6 7 10 11 12 13 16 17 22 23 26 27 28 29 32 33 38 39 42 43 44 45 48 49 54 55 58 59 60 61,10,0,False,14,1,UNDERDETERMINED
5,56,70,False,,False,,32,0 1 6 7 10 11 12 13 16 17 22 23 26 27 28 29 32 33 38 39 42 43 44 45 48 49 54 55 58 59 60 61,10,0,False,14,1,UNDERDETERMINED
5,57,71,False,,False,,32,0 1 6 7 10 11 12 13 16 17 22 23 26 27 28 29 32 33 38 39 42 43 44 45 48 49 54 55 58 59 60 61,10,0,False,14,1,UNDERDETERMINED
5,58,72,False,,True,3,1,3,10,0,True,14,1,AFFINE_FAMILY_CONDITIONAL_CONSENSUS
5,59,73,False,,True,9,1,9,10,0,True,14,1,AFFINE_FAMILY_CONDITIONAL_CONSENSUS
5,60,74,False,,False,,32,0 1 6 7 10 11 12 13 16 17 22 23 26 27 28 29 32 33 38 39 42 43 44 45 48 49 54 55 58 59 60 61,10,0,False,14,1,UNDERDETERMINED
5,61,75,False,,False,,32,0 1 6 7 10 11 12 13 16 17 22 23 26 27 28 29 32 33 38 39 42 43 44 45 48 49 54 55 58 59 60 61,10,0,False,14,1,UNDERDETERMINED
5,62,76,False,,True,53,1,53,10,0,True,14,1,AFFINE_FAMILY_CONDITIONAL_CONSENSUS
5,63,77,False,,True,63,1,63,10,0,True,14,1,AFFINE_FAMILY_CONDITIONAL_CONSENSUS
6,0,00,False,,True,29,1,29,26,0,True,57,1,AFFINE_FAMILY_CONDITIONAL_CONSENSUS
6,1,01,False,,True,31,1,31,26,0,True,57,1,AFFINE_FAMILY_CONDITIONAL_CONSENSUS
6,2,02,False,,False,,32,0 2 4 6 9 11 13 15 17 19 21 23 24 26 28 30 33 35 37 39 40 42 44 46 48 50 52 54 57 59 61 63,26,0,False,57,1,UNDERDETERMINED
6,3,03,False,,False,,32,0 2 4 6 9 11 13 15 17 19 21 23 24 26 28 30 33 35 37 39 40 42 44 46 48 50 52 54 57 59 61 63,26,0,False,57,1,UNDERDETERMINED
6,4,04,False,,True,34,1,34,26,0,True,57,1,AFFINE_FAMILY_CONDITIONAL_CONSENSUS
6,5,05,False,,True,32,1,32,26,0,True,57,1,AFFINE_FAMILY_CONDITIONAL_CONSENSUS
6,6,06,False,,False,,32,0 2 4 6 9 11 13 15 17 19 21 23 24 26 28 30 33 35 37 39 40 42 44 46 48 50 52 54 57 59 61 63,26,0,False,57,1,UNDERDETERMINED
6,7,07,False,,False,,32,0 2 4 6 9 11 13 15 17 19 21 23 24 26 28 30 33 35 37 39 40 42 44 46 48 50 52 54 57 59 61 63,26,0,False,57,1,UNDERDETERMINED
6,8,10,False,,False,,32,0 2 4 6 9 11 13 15 17 19 21 23 24 26 28 30 33 35 37 39 40 42 44 46 48 50 52 54 57 59 61 63,26,0,False,57,1,UNDERDETERMINED
6,9,11,False,,False,,32,0 2 4 6 9 11 13 15 17 19 21 23 24 26 28 30 33 35 37 39 40 42 44 46 48 50 52 54 57 59 61 63,26,0,False,57,1,UNDERDETERMINED
6,10,12,False,,True,12,1,12,26,0,True,57,1,AFFINE_FAMILY_CONDITIONAL_CONSENSUS
6,11,13,True,14,True,14,1,14,26,0,True,57,1,SOURCE_KNOWN
6,12,14,False,,False,,32,0 2 4 6 9 11 13 15 17 19 21 23 24 26 28 30 33 35 37 39 40 42 44 46 48 50 52 54 57 59 61 63,26,0,False,57,1,UNDERDETERMINED
6,13,15,False,,False,,32,0 2 4 6 9 11 13 15 17 19 21 23 24 26 28 30 33 35 37 39 40 42 44 46 48 50 52 54 57 59 61 63,26,0,False,57,1,UNDERDETERMINED
6,14,16,True,51,True,51,1,51,26,0,True,57,1,SOURCE_KNOWN
6,15,17,True,49,True,49,1,49,26,0,True,57,1,SOURCE_KNOWN
6,16,20,False,,False,,32,0 2 4 6 9 11 13 15 17 19 21 23 24 26 28 30 33 35 37 39 40 42 44 46 48 50 52 54 57 59 61 63,26,0,False,57,1,UNDERDETERMINED
6,17,21,False,,False,,32,0 2 4 6 9 11 13 15 17 19 21 23 24 26 28 30 33 35 37 39 40 42 44 46 48 50 52 54 57 59 61 63,26,0,False,57,1,UNDERDETERMINED
6,18,22,False,,True,62,1,62,26,0,True,57,1,AFFINE_FAMILY_CONDITIONAL_CONSENSUS
6,19,23,False,,True,60,1,60,26,0,True,57,1,AFFINE_FAMILY_CONDITIONAL_CONSENSUS
6,20,24,False,,False,,32,0 2 4 6 9 11 13 15 17 19 21 23 24 26 28 30 33 35 37 39 40 42 44 46 48 50 52 54 57 59 61 63,26,0,False,57,1,UNDERDETERMINED
6,21,25,False,,False,,32,0 2 4 6 9 11 13 15 17 19 21 23 24 26 28 30 33 35 37 39 40 42 44 46 48 50 52 54 57 59 61 63,26,0,False,57,1,UNDERDETERMINED
6,22,26,False,,True,1,1,1,26,0,True,57,1,AFFINE_FAMILY_CONDITIONAL_CONSENSUS
6,23,27,False,,True,3,1,3,26,0,True,57,1,AFFINE_FAMILY_CONDITIONAL_CONSENSUS
6,24,30,False,,True,47,1,47,26,0,True,57,1,AFFINE_FAMILY_CONDITIONAL_CONSENSUS
6,25,31,True,45,True,45,1,45,26,0,True,57,1,SOURCE_KNOWN
6,26,32,False,,False,,32,0 2 4 6 9 11 13 15 17 19 21 23 24 26 28 30 33 35 37 39 40 42 44 46 48 50 52 54 57 59 61 63,26,0,False,57,1,UNDERDETERMINED
6,27,33,False,,False,,32,0 2 4 6 9 11 13 15 17 19 21 23 24 26 28 30 33 35 37 39 40 42 44 46 48 50 52 54 57 59 61 63,26,0,False,57,1,UNDERDETERMINED
6,28,34,False,,True,16,1,16,26,0,True,57,1,AFFINE_FAMILY_CONDITIONAL_CONSENSUS
6,29,35,False,,True,18,1,18,26,0,True,57,1,AFFINE_FAMILY_CONDITIONAL_CONSENSUS
6,30,36,False,,False,,32,0 2 4 6 9 11 13 15 17 19 21 23 24 26 28 30 33 35 37 39 40 42 44 46 48 50 52 54 57 59 61 63,26,0,False,57,1,UNDERDETERMINED
