node,x,y,z,lat,lon,move_from_rigid_deg
0,-0.448818381649,-0.274372705806,-0.850459686642,-58.261703,-148.561623,0.0000
1,0.462007943193,0.250954036423,-0.850629609189,-58.280215,28.509978,0.0000
2,-0.420871316305,0.729544181948,-0.539103535230,-32.622633,119.980487,0.0000
3,0.978596647184,0.183398114132,0.093347382684,5.356209,10.614635,13.2678
4,-0.429022913635,0.744017715598,0.512227467492,30.812314,119.969038,0.0000
5,-0.474242215249,-0.880353930668,0.008442631902,0.483733,-118.311122,0.0000
6,-0.999505736194,0.030357406542,-0.008167691444,-0.467979,178.260323,0.0000
7,0.429022913635,-0.744017715598,-0.512227467492,-30.812314,-60.030962,0.0000
8,0.474242215249,0.880353930668,-0.008442631902,-0.483733,61.688878,0.0000
9,0.323146563483,0.485072006292,0.812577040791,54.348485,56.329135,14.2598
10,0.150330409544,-0.594662156961,0.789795978114,52.166449,-75.812882,41.2706
11,0.116002552956,-0.758665109561,0.641069933192,39.871648,-81.306606,18.5755
