run_id,outer_diameter_mm,period_mm,groove_depth_mm,h_over_d,sspp_status,mask,carrier_hz,changed_variable,claim_status
RUN_V6_SEED_00032,188,15.962686996618409,24,1.5035062709106708,WELL_FORMED_CANDIDATE,RUN_35_OF_37,20480,seed_grid,SIMULATION_ESTIMATE
RUN_V6_SEED_00033,188,15.962686996618409,24,1.5035062709106708,WELL_FORMED_CANDIDATE,RUN_35_OF_37,1683456,seed_grid,SIMULATION_ESTIMATE
RUN_V6_SEED_00034,188,15.962686996618409,24,1.5035062709106708,WELL_FORMED_CANDIDATE,STEER_33_ACTIVE,4096,seed_grid,SIMULATION_ESTIMATE
RUN_V6_SEED_00035,188,15.962686996618409,24,1.5035062709106708,WELL_FORMED_CANDIDATE,STEER_33_ACTIVE,20480,seed_grid,SIMULATION_ESTIMATE
RUN_V6_SEED_00036,188,15.962686996618409,24,1.5035062709106708,WELL_FORMED_CANDIDATE,STEER_33_ACTIVE,1683456,seed_grid,SIMULATION_ESTIMATE
RUN_V6_SEED_00037,188,15.962686996618409,48,3.0070125418213416,WELL_FORMED_CANDIDATE,ALL_37,4096,seed_grid,SIMULATION_ESTIMATE
RUN_V6_SEED_00038,188,15.962686996618409,48,3.0070125418213416,WELL_FORMED_CANDIDATE,ALL_37,20480,seed_grid,SIMULATION_ESTIMATE
RUN_V6_SEED_00039,188,15.962686996618409,48,3.0070125418213416,WELL_FORMED_CANDIDATE,ALL_37,1683456,seed_grid,SIMULATION_ESTIMATE
RUN_V6_SEED_00040,188,15.962686996618409,48,3.0070125418213416,WELL_FORMED_CANDIDATE,RUN_35_OF_37,4096,seed_grid,SIMULATION_ESTIMATE
RUN_V6_SEED_00041,188,15.962686996618409,48,3.0070125418213416,WELL_FORMED_CANDIDATE,RUN_35_OF_37,20480,seed_grid,SIMULATION_ESTIMATE
RUN_V6_SEED_00042,188,15.962686996618409,48,3.0070125418213416,WELL_FORMED_CANDIDATE,RUN_35_OF_37,1683456,seed_grid,SIMULATION_ESTIMATE
RUN_V6_SEED_00043,188,15.962686996618409,48,3.0070125418213416,WELL_FORMED_CANDIDATE,STEER_33_ACTIVE,4096,seed_grid,SIMULATION_ESTIMATE
RUN_V6_SEED_00044,188,15.962686996618409,48,3.0070125418213416,WELL_FORMED_CANDIDATE,STEER_33_ACTIVE,20480,seed_grid,SIMULATION_ESTIMATE
RUN_V6_SEED_00045,188,15.962686996618409,48,3.0070125418213416,WELL_FORMED_CANDIDATE,STEER_33_ACTIVE,1683456,seed_grid,SIMULATION_ESTIMATE
RUN_V6_SEED_00046,288,24.453477952266496,8,0.32715182746667376,WEAK_OR_UNFORMED_CANDIDATE,ALL_37,4096,seed_grid,SIMULATION_ESTIMATE
RUN_V6_SEED_00047,288,24.453477952266496,8,0.32715182746667376,WEAK_OR_UNFORMED_CANDIDATE,ALL_37,20480,seed_grid,SIMULATION_ESTIMATE
RUN_V6_SEED_00048,288,24.453477952266496,8,0.32715182746667376,WEAK_OR_UNFORMED_CANDIDATE,ALL_37,1683456,seed_grid,SIMULATION_ESTIMATE
RUN_V6_SEED_00049,288,24.453477952266496,8,0.32715182746667376,WEAK_OR_UNFORMED_CANDIDATE,RUN_35_OF_37,4096,seed_grid,SIMULATION_ESTIMATE
RUN_V6_SEED_00050,288,24.453477952266496,8,0.32715182746667376,WEAK_OR_UNFORMED_CANDIDATE,RUN_35_OF_37,20480,seed_grid,SIMULATION_ESTIMATE
RUN_V6_SEED_00051,288,24.453477952266496,8,0.32715182746667376,WEAK_OR_UNFORMED_CANDIDATE,RUN_35_OF_37,1683456,seed_grid,SIMULATION_ESTIMATE
RUN_V6_SEED_00052,288,24.453477952266496,8,0.32715182746667376,WEAK_OR_UNFORMED_CANDIDATE,STEER_33_ACTIVE,4096,seed_grid,SIMULATION_ESTIMATE
RUN_V6_SEED_00053,288,24.453477952266496,8,0.32715182746667376,WEAK_OR_UNFORMED_CANDIDATE,STEER_33_ACTIVE,20480,seed_grid,SIMULATION_ESTIMATE
RUN_V6_SEED_00054,288,24.453477952266496,8,0.32715182746667376,WEAK_OR_UNFORMED_CANDIDATE,STEER_33_ACTIVE,1683456,seed_grid,SIMULATION_ESTIMATE
RUN_V6_SEED_00055,288,24.453477952266496,12,0.49072774120001067,WEAK_OR_UNFORMED_CANDIDATE,ALL_37,4096,seed_grid,SIMULATION_ESTIMATE
RUN_V6_SEED_00056,288,24.453477952266496,12,0.49072774120001067,WEAK_OR_UNFORMED_CANDIDATE,ALL_37,20480,seed_grid,SIMULATION_ESTIMATE
RUN_V6_SEED_00057,288,24.453477952266496,12,0.49072774120001067,WEAK_OR_UNFORMED_CANDIDATE,ALL_37,1683456,seed_grid,SIMULATION_ESTIMATE
RUN_V6_SEED_00058,288,24.453477952266496,12,0.49072774120001067,WEAK_OR_UNFORMED_CANDIDATE,RUN_35_OF_37,4096,seed_grid,SIMULATION_ESTIMATE
